a;that
a aba so;fashionable
a abu so;rampant
a agye dimmɔne;infamously
a ahobammɔ nnim;unsafely
a akyinnye biara nni ho;indisputably
a akyinnye biara nni ho;unambiguously
a akyinnye biara nni ho;uncontroversial
a akyinnye biara nni ho;undisputedly
a akyinnye biara nni ho;unequivocal
a akyinnye biara nni ho;unequivocally
a akyinnye biara nni ho;unquestionable
a aniwu biara nni ho;unabashedly
a aniwu nnim;shamelessly
a aniwu nnim;unabashed
a anohyeto nni mu;boundless
a asiane biara nni ho;harmless
a asiane biara nni ho;harmlessness
a asiane biara nni ho;innocuous
a asikre nnim;unsugared
a asɛe;decrepit
a asɛe;dilapidated
a asɛe;impaired
a asɛm biara nni ho;innocently
a asɛm biara nni ho bio;with no further ado
a ayow;withered
a ayɛ dedaw;antiquated
a ayɛ mmerɛw;depleted
a biribiara nhyɛ mu;unconditionally
a biribiara nsiw no kwan;unfettered
a botae biara nni ho;aimless
a botae biara nni ho;aimlessly
a cappella a wɔde hyɛ nipadua mu;a cappella
a ebetumi aba;potentially
a ebi mmae da;unprecedented
a edi awu;deadly
a efi komam;heartfelt
a egyina hɔ ma;on behalf of
a egyina hɔ pintinn;stationary
a ekum mmoawa;bactericidal
a ekum mmoawa nketenkete;microbicidal
a emu duru nnim;weightless
a emu nna hɔ;ambiguously
a emu nna hɔ;unambiguous
a emu nna hɔ;unclearly
a emu yɛ duru;weighty
a emu yɛ hare;lighter
a enhinhim;unwavering
a enkosi hwee;unsuccessfully
a enni ano;infinitely
a enni ano;myriad
a enni ase;bottomless
a enni awiei;endless
a enni awiei;interminable
a enni awiei;neverending
a enni awiei;unending
a enni hɔ;nonexistent
a enni hɔ;unavailable
a enni kɔla;colourless
a enni mu;devoid
a enni mũ;incomplete
a enni mũ;incompletely
a enni nnyinaso;groundless
a enni nnyinaso biara;unconditional
a enni nsusuwii;formless
a enni sɛnkyerɛnne biara;asymptomatic
a enni sẽ;toothless
a ennu;less than
a ennyaa nkɔso;undeveloped
a ennyae;incessant
a entu mpɔn;ineffective
a entumi nnyina pintinn;unstable
a entumi nnyina pintinn;unsteady
a esiw ano;inhibitive
a etu mpɔn;efficacious
a fortiori na ɛyɛ adwuma;a fortiori
a hwee anyɛ no;unscathed
a mfaso biara nni so;unavailing
a mfomso biara nni ho;impeccably
a mfomso biara nni ho;infallible
a mfomso biara nni ho;infallibly
a mframa nnim;anaerobic
a mmara mma ho kwan;illicit
a mmɔborohunu nnim;mercilessly
a mmɔborohunu nnim;pitiless
a mmɔkaw nnim;unleavened
a na wɔnhwɛ kwan;unexpectedly
a ne;whose
a ne bere atwam;outdated
a ne bo afuw;aggrieved
a ne bo yɛ den;expensively
a ne ho dwiriw no;astonished
a ne honam ani yɛ den;thick-skinned
a ne hwene yɛ den;hard-nosed
a ne koma fã yɛ;half-hearted
a ne nan abien na ɛbɔ;bipedal
a ne nan atenten;long-legged
a ne nan yɛ anan;quadruped
a ne ti da mpan;empty-headed
a ne ti nhwi yɛ fitaa;grey-haired
a ne ti nhwi yɛ kɔkɔɔ;redheaded
a ne ti nhwi yɛ tiaa;shorthaired
a ne ti nhwi yɛ tuntum;dark-haired
a ne ti yɛ den;hardheaded
a ne ti yɛ hyew;hotheaded
a ne tirim yɛ den te sɛ afurum;stubborn as a mule
a nhaban gu;deciduous
a nidi wom;dignified
a nidi wom;honorable
a nkekae biara nni ho;unblemished
a nkurɔfo ani nnye ho;unpopular
a nkwa nnim;inanimate
a ntease nnim;irrationally
a nwi nnim;hairless
a nwi nnim;wrinkle-free
a nyansa nnim;unintelligently
a n’adwene abue;open-minded
a n’adwene asi so;preoccupied
a n’adwene mu yɛ no naa wɔ thomas ho;doubting Thomas
