a bit much;kakra pii
a cappella;a cappella a wɔde hyɛ nipadua mu
A Coruña;Coruña bi a wɔfrɛ no Coruña
a few;kakraa bi
a fortiori;a fortiori na ɛyɛ adwuma
a lie has no legs;atosɛm nni nan
a little;kakra
a lot;pii
a number of;dodow bi a ɛyɛ
a priori;a priori a wɔde di dwuma
a thing or two;ade biako anaa abien
A-bomb;A-ɔtopae
a.m.;yɛ
a;bi
Aachen;Aachen
aah;aah
Aalenian;Aalenian a ɔyɛ ɔkyerɛwfo
aalii;aalii
aardvark;aardvark na ɛyɛ
aardwolf;aardwolf a wɔde di dwuma
Aaron;Aaron
Aaronic;Aaron
ab initio;ab mfiase
abaca;abaca
abacist;abacist a wɔde di dwuma
aback;aback
abacus;abacus
Abadan;Abadan
abaft;abaft
abalone;abalone
abandon;gya si hɔ
abandoned;gya si hɔ
abandonment;gyaw a wogyaw wɔn hɔ
abase;abase
abasement;abasement a wɔbrɛ wɔn ho ase
abash;abash
abashed;aniwu
abate;abate
abatement;abatement a wɔtew so
abattoir;abattoir
Abbasid;Abbasidfoɔ
abbatial;abbatial ho asɛm
abbess;abbess a ɔyɛ ɔbaabun
abbey;abbey a ɛwɔ hɔ
abbeystead;abbeystead, asɔredan mu
abbot;abbot a ɔyɛ ɔbaabun
abbreviate;twa tiawa
abbreviated;wɔatwa no tiaa
abbreviation;asɛmfua a wɔatwa no tiawa
abbreviature;asɛmfua tiawa
abciximab;abciximab a wɔde di dwuma
abdest;abdest
abdicate;gyae adwuma no
abdication;agyae adwuma no
abdomen;yafunu mu
abdominal cavity;yafunu mu a ɛyɛ mmerɛw
abdominal;yafunu mu
abdominoplasty;yafunu mu aduruyɛ
abduce;kyere obi sie
abduct;obi a ɔkyere nkurɔfo sie
abduction;a wɔkyere nkurɔfo sie
abductor;obi a ɔkyere nkurɔfo sie
Abdullah;Abdullah na ɔkyerɛwee
Abecedarian;Abecedarianfo a ɔyɛ ɔbaabun
