b'ak'tun a woagye atom;b'ak'tun
ba;come about
ba a wɔansan anyɛ saa;come undone
ba a ɛnyɛ hwee;come to nothing
ba a, ɛba;come across
ba awiei;come to an end
ba ci ba ça;comme ci comme ça
ba ma wo ne no nhyia;come to terms with
ba mu;come to pass
ba onyin mu;come of age
baa;baa
baa dwumadibea;branch office
baabi;somewhere
baabi a ani si;focus
baabi a ano pem;scope
baabi a epue firi;outlet
baabi a wotua tow;toll booth
baabi a wɔatoto mu;confined space
baabi a wɔde bɛkɔ;whereto
baabi a wɔde kar sisi;parking lot
baabi a wɔde kar sisi;parking
baabi a wɔde kar sisi biara nni hɔ;no parking
baabi a wɔde nneɛma gu;luggage rack
baabi a wɔde wura mu;entrance
baabi a wɔde wɔn ho sie;hideout
baabi a wɔhoro nneɛma;launderette
baabi a wɔhyew afunu;crematorium
baabi a wɔte;domicile
baabi a wɔtow aba;polling station
baabi a wɔtow aba;voting booth
baabi a wɔtow nneɛma gu;landfill
baabi a wɔwoo no;birthplace
baabi a wɔyɛ nsɛmmɔnedi;crime scene
baabi a wɔyɛ ti nhwi;barbershop
baabi a wɔyɛ ti nhwi;hair salon
baabi a yɛntra;threshold
baabi a ɛwɔ;whereabouts
baabi a ɛwɔ;whither
baabi a ɛyera;vanishing point
baabiara;anywhere
baabiara;everywhere
baabiara;wherever
baabiara a obi wɔ;omnipresence
baabiara nni hɔ;nowhere
baage;suitcase
baako;one
baanu;both
baanusɛm;mutual
baasakoro;trinity
baasakoro;triunity
baasakoro ho asɛm;Trinitarian
baatan;tentative
baba ganoush na ɛyɛ;baba ganoush
baba yaga na ɔkyerɛwee;Baba Yaga
babaa;daughter
babble;babble
babel abantenten;Tower of Babel
babesiosis a ɛma obi nya ɔyare;babesiosis
babilon;Babylon
babilon;Babylonia
babilonfo;Babylonian
babilonfo de;Babylonic
babouche na ɔkyerɛwee;babouche
babunu;youth
babushka;babushka
baby boomer a ɔyɛ ɔbaabun;baby boomer
babyish;babyish
baccarat a wɔde di dwuma;baccarat
bacchic a ɛyɛ bacchic;bacchic
bacchus na ɔkyerɛwee;Bacchus
bach;Bach
bachata;bachata
bachelor apontow a wɔyɛ;bachelor party
bachelor wɔ adwinni mu;Bachelor of Arts
bachelorette apontow ase;bachelorette party
bachelor’s abodin krataa;bachelor's degree
bacillus a wɔfrɛ no bacillus;bacillus
backhand a wɔde di dwuma;backhand
backslash a wɔde hyɛ akyi;backslash
backup a wɔde yɛ adwuma;backup
bacon a wɔde yɛ nneɛma;bacon
bacteriophage a wɔde di dwuma;bacteriophage
bactria a wɔfrɛ no bactria;Bactria
bactrian yoma a wɔfrɛ no yoma;Bactrian camel
badajoz na ɔkyerɛwee;Badajoz
badass a ɛyɛ den;badass
badge a wɔde di dwuma;badge
badger a wɔfrɛ no badger;badger
badlands a ɛwɔ hɔ;badlands
badminton a wɔbɔ;badminton
badminton bɔfo;badminton player
baetic na ɔkyerɛwee;Baetic
baffle a ɛyɛ nwonwa;baffle
bag a wɔde kyerɛw nneɛma;briefcase
bagatelle;bagatelle
bagel a wɔfrɛ no bagel;bagel
baggy;baggy
baghdad na ɛwɔ hɔ;Baghdad
bagna cauda a wɔde di dwuma;bagna cauda
bagpiper a ɔbɔ bɔɔl;bagpiper
bagpipes a wɔde bɔ nnwom;bagpipes
baguam asetra;public life
baguam asɛm;publicity
baguette a wɔde yɛ adwuma;baguette
bah;bah
bahamas kasa;Bahamian
bahamas na ɛwɔ hɔ;Bahamas
bahrain na ɛwɔ hɔ;Bahrain
bahraini kasa mu;Bahraini
baht na ɛyɛ;baht
bahá’í gyidie;Bahá'í Faith
bail a wɔde bɛto afiase;bail
bail bond a wɔde ma;bail bond
bail out;bail out
bailiff a ɔyɛ bailiff;bailiff
bailiwick na ɛyɛ adwuma;bailiwick
bailout a wɔde gye nkurɔfo;bailout
bain-marie na ɔkyerɛwee;bain-marie
baja california na ɛwɔ hɔ;Baja California
baja california sur na ɛwɔ hɔ;Baja California Sur
bajocian kasa;Bajocian
bakelite a wɔde yɛ nneɛma;Bakelite
baking powder a wɔde yɛ paanoo;baking powder
baklava a wɔde yɛ adwuma;baklava
baksheesh a wɔde yɛ adwuma;baksheesh
baku;Baku
balaclava a wɔfrɛ no balaclava;balaclava
balailaika;balalaika
balanitis a ɛma obi nya yare;balanitis
balboa;balboa
balconing a wɔde yɛ adwuma;balconing
bald;bald
bald spot;bald spot
baldie na ɔkyerɛwee;baldie
bale;bale
balearic kasa;Balearic
balearic nsupɔw so;Balearic Islands
balearic po no;Balearic Sea
baleen;baleen
baleful;baleful
baler a wɔde yɛ nneɛma;baler
bali;Bali
bali ɔkraman;Bali tiger
balk;balk
balkanfo a wɔde wɔn ho bɛhyɛ mu;Balkanization
balkanfo na wɔte saa;Balkan
ballad a wɔfrɛ no ballad;ballad
ballast a wɔde yɛ ballast;ballast
ballerina a ɔyɛ ɔbarima;ballerina
ballet a wɔde di dwuma;ballet
ballistic a wɔde di dwuma;ballistic
ballistics a wɔde di dwuma;ballistics
balloon a wɔde hyɛ mu;balloon
ballpoint pen a wɔde kyerɛw nsɛm;ballpoint pen
ballroom dan mu;ballroom
ballsy a ɛyɛ den;ballsy
ballyhoo;ballyhoo
balochi na ɔkyerɛwee;Balochi
balochistan na ɛwɔ hɔ;Balochistan
baloney;baloney
balsam;balsam
baltic po no;Baltic Sea
balticfo no;Baltic
balto-slavic kasa mu;Balto-Slavic
balun;balun
balustrade a wɔde hyɛ mu;balustrade
bamako;Bamako
bambara;Bambara
bamboo a wɔde yɛ;bamboo
bamboo ntama a wɔde yɛ ntama;Bamboo Curtain
bamboozle a wɔde yɛ adwuma;bamboozle
bammɔ;security
bammɔfoɔ;guard
ban;wall
ban a wɔabara;ban
banal;banal
banality a ɛyɛ den;banality
banana;grandchild
banana;granddaughter
banana;grandson
banana a wɔapaapae mu;banana split
banana a wɔayam;banana peel
banana paanoo;banana bread
banana ɔmanpanyin;banana republic
band-aid a wɔde di dwuma;band-aid
bandana;bandana
bandar seri begawan na ɔkyerɛwee;Bandar Seri Begawan
banderilla a wɔfrɛ no banderilla;banderilla
banderillero na ɔkyerɛwee;banderillero
bandfish kɔkɔɔ a wɔfrɛ no bandfish;red bandfish
bandicoot a wɔde di dwuma;bandicoot
bandolier a wɔde di dwuma;bandolier
bandoneon a wɔfrɛ no bandoneon;bandoneon
bandurria a ɛyɛ den;bandurria
bandwidth a wɔde di dwuma;bandwidth
bandy;bandy
bane;bane
bang fi adi;bang out
bangalore na ɛwɔ hɔ;Bangalore
bangers ne mash a wɔde yɛ nneɛma;bangers and mash
bangkok na ɛwɔ hɔ;Bangkok
bangladesh;Bangladesh
bangladeshi kasa mu;Bangladeshi
bangui;Bangui
banish;banish
banister a wɔde hyɛ mu;banister
banjo a wɔfrɛ no banjo;banjo
banjul na ɔkyerɛwee;Banjul
bankrupt a wɔabɔ wɔn ho ban;bankrupt
bankye a wɔato;baked beans
bankye a wɔtaa de di dwuma;common bean
bankye a ɛyɛ ahabammono;green bean
bankye a ɛyɛ frɔmfrɔm;bean sprout
banshee;banshee
bantamweight a ɛyɛ den;bantamweight
banter a ɛyɛ fɛwdi;banter
bantufoɔ;Bantu
banyan;banyan
baobab a wɔde di dwuma;baobab
baotou na ɔkyerɛwee;Baotou
baptistfo;Baptist
bar a wɔde chocolate ayɛ;bar of chocolate
bar chart a wɔde kyerɛw nsɛm;bar chart
bar line;bar line
bar no biara nni hɔ;bar none
bar-tailed godwit a ɔyɛ ɔbarima;bar-tailed godwit
bara;forbid
bara;prohibit
bara a wɔbara;prohibition
bara a wɔbara;proscribe
barb;barb
barbadian kasa;Barbadian
barbados na ɛwɔ hɔ;Barbados
barbara na ɔkyerɛwee;Barbara
barbarian;barbarian
barbaric;barbaric
barbarize;barbarize
barbary gyata a ɔyɛ ɔbarima;Barbary lion
barbary na ɔkyerɛwee;Barbary
barbecue a wɔde yɛ aduan;barbecue sauce
barbecue a wɔde yɛ barbecue;barbecue
barbel a wɔfrɛ no barbel;barbel
barbell a wɔde yɛ nneɛma;barbell
barbiturate a wɔde yɛ nneɛma;barbiturate
barcelona;Barcelona
barcelonian kasa mu;Barcelonian
barcode a wɔde kyerɛw nsɛm;barcode
barcode akenkanfo;barcode reader
bard;bard
bardo;bardo
bare;bare
bareass a ɔnyɛ hwee;bareass
bareback;bareback
barebutt a wɔde di dwuma;barebutt
barents po no mu;Barents Sea
barfly a wɔfrɛ no barfly;barfly
barge a wɔde fa hyɛn mu;barge
bari;Bari
barima;guy
barima;male
barima;Malé
barima;man
barista;barista
barite a wɔde yɛ adwuma;barite
baritone a wɔde yɛ adwuma;baritone
barium a wɔfrɛ no barium;barium
barker;barker
barn swallow a wɔde mene;barn swallow
barn ɔkraman;barn owl
barnacle a ɛyɛ fɛ;barnacle
barnacle ɔkraman;barnacle goose
barnaul na ɔkyerɛwee;Barnaul
barometer a wɔde kyerɛ sɛnea nneɛma te;barometer
barometric a wɔde kyerɛ sɛnea nneɛma te;barometric
baron a wɔfrɛ no baron;baron
baroness a ɔyɛ ɔbea;baroness
barony;barony
baroque guitar a wɔde bɔ nnwom;Baroque guitar
baroque kasa mu;Baroque
barque a wɔfrɛ no barque;barque
barracuda a wɔfrɛ no barracuda;barracuda
barrel organ a wɔde yɛ ade;barrel organ
barrel roll a wɔabɔ no mua;barrel roll
barrette a wɔde kyerɛw nsɛm;barrette
barrow;barrow
barse;barse
bartender a ɔyɛ adwuma;bartender
barter a wɔde sesa nneɛma;barter
bartolomew na ɔkyerɛwee;Bartholomew
bartonian na ɔkyerɛwee;Bartonian
baruk;Baruch
baryon;baryon
baryonic a wɔde yɛ adwuma;baryonic
bas ahotɔ;bas relief
basaa;mess
basaa;rough
basaa;roughly
basaa;weird
basabasa;mess up
basabasa;violent
basabasa ne;mess with
basabasayɔ;chaos
basabasayɔ;violence
basabasayɛ;commotion
basabasayɛ;disorder
basabasayɛ;disturbance
basabasayɛ;fuss
basabasayɛ;mischief
basabasayɛ;muddle
basabasayɛ;tumult
basabasayɛ;turmoil
basabasayɛ;uproar
basabasayɛ a wɔnyɛ;nonviolence
basabasayɛ a wɔyɛ;aggression
basabasayɛ a wɔyɛ;aggressiveness
basabasayɛ a wɔyɛ;agitation
basabasayɛ a ɛbae;upheaval
basabasayɛ a ɛhaw adwene;perturbation
