b'ak'tun;b'ak'tun a woagye atom
baa;baa
baba ganoush;baba ganoush na ɛyɛ
Baba Yaga;Baba Yaga na ɔkyerɛwee
babble;babble
babbler;ɔkasafo
babbling;a wɔrebɔ nkɔmmɔ
babesiosis;babesiosis a ɛma obi nya ɔyare
baboon;akraman a wɔfrɛ wɔn baboon
babouche;babouche na ɔkyerɛwee
babushka;babushka
baby boom;nkokoaa boom
baby boomer;baby boomer a ɔyɛ ɔbaabun
baby bottle;akokoaa toa
baby boy;akokoaa abarimaa
baby buggy;akokoaa buggy
baby face;akokoaa anim
baby food;nkokoaa aduan
baby grand;akokoaa grand
baby powder;nkokoaa powder
baby shower;akokoaa a wɔde wɔn ho hyɛ mu
baby weight;akokoaa mu duru
baby's breath;akokoaa home
baby;abɔfra
babyish;babyish
Babylon;Babilon
Babylonia;Babilon
Babylonian;Babilonfo
Babylonic;Babilonfo de
babysit;nkokoaa a wɔhwɛ wɔn
babysitter;nkokoaa hwɛfo
baccarat;baccarat a wɔde di dwuma
bacchic;bacchic a ɛyɛ bacchic
Bacchus;Bacchus na ɔkyerɛwee
Bacchylides;Nnuru a wɔfrɛ no Bachylides
Bach;Bach
bachata;bachata
Bachelor of Arts;Bachelor wɔ Adwinni mu
Bachelor of Laws;Mmara Ho Ɔbenfo
bachelor party;bachelor apontow a wɔyɛ
bachelor's degree;bachelor’s abodin krataa
bachelor;osugyani
bachelorette party;bachelorette apontow ase
bacillus;bacillus a wɔfrɛ no bacillus
back and forth;akyi ne akyi
back cover;akyi akatasoɔ
back fire;akyi ogya
back of beyond;akyi a ɛboro so
back off;san w’akyi
back out;san w’akyi fi adi
back seat;akyi nkongua
back to front;akyi kɔ anim
back up;san kɔ soro
back vowel;akyi ɛnne nnyigyei
back-formation;akyi-nhyehyɛe
back-to-back;akyi-akyi-akyi
back-translate;akyi-nkyerɛase
back;akyire
backache;akyi a ɛyɛ yaw
backbencher;akyigyinafo
backbite;akyi a wɔka
backbone;akyi dompe
backdrop;akyi mfonini
backfire;akyigyina
backgammon;akyigyinafo
background music;nnwom a wɔbɔ wɔ akyi
background;akyi asɛm
backhand;backhand a wɔde di dwuma
backlash;akyigyina
backlight;akyi kanea
backlit;akyi hann
backpack;akyi bag
backpacker;akyigyinafo
backpacking;akyi bag a wɔde kɔ
backrest;akyigyinafo
backroom;akyi dan
backscratcher;akyi a wɔde twitwiw akyi
backside;akyi
backslash;backslash a wɔde hyɛ akyi
backspace;akyi kwan
backsplash;akyi a wɔde hyɛ akyi
backstitch;akyi a wɔde hyɛ akyi
backstory;akyi asɛm
backstroke;akyi a wɔde bɔ obi
backtrack;san w’akyi
backup;backup a wɔde yɛ adwuma
backward compatible;akyi a ɛne no hyia
backward;akyi
backwards;akyi
backwater;nsu a ɛwɔ akyi
backyard;akyi hɔ
bacon;bacon a wɔde yɛ nneɛma
bacteria;mmoawa a wɔde nyarewa ba
bacterial;mmoawa a wɔde nyarewa ba
bactericidal;a ekum mmoawa
bactericide;aduru a ekum mmoawa
bacteriochlorophyll;ɔyare mmoawa a wɔfrɛ no bacteriochlorophyll
bacteriological;mmoawa a wɔde nyarewa ba
bacteriologist;ɔyare mmoawa ho ɔbenfo
bacteriology;mmoawa ho adesua
bacteriophage;bacteriophage a wɔde di dwuma
bacteriostatic;a ɛko tia mmoawa
bacterium;ɔyare mmoawa
Bactria;Bactria a wɔfrɛ no Bactria
Bactrian camel;Bactrian yoma a wɔfrɛ no yoma
bad apple;apɔw-mu-teɛteɛ bɔne
bad humour;aseresɛm bɔne
bad luck;asɛmmɔne
bad news;asɛmmɔne
bad trip;akwantu bɔne
bad-mannered;suban bɔne
bad-tempered;obi a ne bo nyɛ den
bad;nyɛ
Badajoz;Badajoz na ɔkyerɛwee
badass;badass a ɛyɛ den
badge;badge a wɔde di dwuma
badger;badger a wɔfrɛ no badger
badlands;badlands a ɛwɔ hɔ
badly;bɔne
badminton player;badminton bɔfo
badminton;badminton a wɔbɔ
badness;bɔne
Baetic;Baetic na ɔkyerɛwee
baffle;baffle a ɛyɛ nwonwa
baffling;a ɛyɛ nwonwa
bag;bɔtɔ
bagatelle;bagatelle
bagel;bagel a wɔfrɛ no bagel
baggage claim;nneɛma a wɔde fa nneɛma
baggy;baggy
Baghdad;Baghdad na ɛwɔ hɔ
bagna cauda;bagna cauda a wɔde di dwuma
bagpiper;bagpiper a ɔbɔ bɔɔl
bagpipes;bagpipes a wɔde bɔ nnwom
baguette;baguette a wɔde yɛ adwuma
bah;bah
Bahamas;Bahamas na ɛwɔ hɔ
Bahamian;Bahamas kasa
Bahrain;Bahrain na ɛwɔ hɔ
Bahraini;Bahraini kasa mu
baht;baht na ɛyɛ
Bahá'í Faith;Bahá’í Gyidie
bail bond;bail bond a wɔde ma
bail out;bail out
bail;bail a wɔde bɛto afiase
bailiff;bailiff a ɔyɛ bailiff
bailiwick;bailiwick na ɛyɛ adwuma
bailout;bailout a wɔde gye nkurɔfo
bain-marie;bain-marie na ɔkyerɛwee
bait;adɔdɔdeɛ
Baja California Sur;Baja California Sur na ɛwɔ hɔ
Baja California;Baja California na ɛwɔ hɔ
Bajocian;Bajocian kasa
bake;to
baked beans;bankye a wɔato
baked goods;nneɛma a wɔato
Bakelite;Bakelite a wɔde yɛ nneɛma
baker's dozen;paanootofo no dumien
baker;paanootofo
bakery;foronoo ase
baking powder;baking powder a wɔde yɛ paanoo
baking soda;soda a yɛde to aduane
baking tray;tray a wɔde to paanoo
baking;paanoo a wɔtow
baklava;baklava a wɔde yɛ adwuma
baksheesh;baksheesh a wɔde yɛ adwuma
Baku;Baku
balaclava;balaclava a wɔfrɛ no balaclava
balalaika;balailaika
balance of trade;aguadi a ɛkari pɛ
balance sheet;sikasɛm ho akontaabu krataa
balance;nsesa
balanitis;balanitis a ɛma obi nya yare
balboa;balboa
balconing;balconing a wɔde yɛ adwuma
balcony;abrannaa so
bald eagle;ɔkɔre a ne ti nhwi ayɛ fitaa
bald spot;bald spot
bald;bald
baldie;baldie na ɔkyerɛwee
baldness;ti nhwi a ɛyɛ den
bale;bale
Balearic Islands;Balearic Nsupɔw so
Balearic Sea;Balearic Po no
Balearic;Balearic kasa
baleen;baleen
baleful;baleful
baler;baler a wɔde yɛ nneɛma
Bali tiger;Bali ɔkraman
Bali;Bali
balk;balk
Balkan;Balkanfo na wɔte saa
Balkanization;Balkanfo a wɔde wɔn ho bɛhyɛ mu
ball bearing;bɔɔl a wɔde hyɛ mu
ball boy;bɔɔlbɔ abarimaa
ball game;bɔɔlbɔ agodie
ball girl;bɔɔl abeawa
ball hog;bɔɔl hog
ball lightning;bɔɔl a ɛyɛ anyinam
ball up;bɔɔl a ɛkɔ soro
ball;bɔɔlo
ballad;ballad a wɔfrɛ no ballad
ballast;ballast a wɔde yɛ ballast
ballerina;ballerina a ɔyɛ ɔbarima
ballet;ballet a wɔde di dwuma
ballistic missile;atopae a wɔde tow atopae
ballistic;ballistic a wɔde di dwuma
ballistics;ballistics a wɔde di dwuma
balloon;balloon a wɔde hyɛ mu
ballot box;abatow adaka a wɔde tow aba
ballot;abatow krataa
ballpark;bɔɔlbɔbea
ballpoint pen;ballpoint pen a wɔde kyerɛw nsɛm
ballroom;ballroom dan mu
balls-deep;bɔɔl-a emu dɔ
balls;bɔɔl a wɔde bɔ bɔɔl
ballsy;ballsy a ɛyɛ den
ballyhoo;ballyhoo
Balochi;Balochi na ɔkyerɛwee
Balochistan;Balochistan na ɛwɔ hɔ
baloney;baloney
balsam;balsam
Baltic Sea;Baltic Po no
Baltic;Balticfo no
Balto-Slavic;Balto-Slavic kasa mu
balun;balun
balustrade;balustrade a wɔde hyɛ mu
Bamako;Bamako
Bambara;Bambara
Bamboo Curtain;Bamboo Ntama a Wɔde Yɛ Ntama
bamboo;bamboo a wɔde yɛ
bamboozle;bamboozle a wɔde yɛ adwuma
ban;ban a wɔabara
banal;banal
banality;banality a ɛyɛ den
banana bread;banana paanoo
banana peel;banana a wɔayam
banana republic;banana ɔmanpanyin
banana split;banana a wɔapaapae mu
banana;kwadu
band-aid;band-aid a wɔde di dwuma
band;nnwontokuo
bandage;aduru a wɔde kyekyere nipadua no ho
bandana;bandana
Bandar Seri Begawan;Bandar Seri Begawan na ɔkyerɛwee
