g clef;G clef
g-ahama;G-string
g-spot a ɛwɔ hɔ;G-spot
g20;G20
g8;G8
gabbro na ɛyɛ;gabbro
gable;gable
gabon;Gabon
gabon republic, ɔmanpanyin;Gabonese Republic
gabonfo kasa;Gabonese
gaborone na ɔkyerɛwee;Gaborone
gabriel;Gabriel
gabriela na ɔkyerɛwee;Gabriela
gad;Gad
gaddafistfoɔ;Gaddafist
gadget a wɔde yɛ nneɛma;gadget
gadolinium a wɔde yɛ adwuma;gadolinium
gadwall na ɛyɛ;gadwall
gaea;Gaea
gaelic kasa mu;Gaelic
gaff po so hyɛn;gaff sail
gaffe;gaffe
gag;gag
gaga;gaga
gagauz na ɔkyerɛwee;Gagauz
gagauzia na ɔkyerɛwee;Gagauzia
gaillardia a ɛma obi nya ɔyare;gaillardia
gainsay a wɔde kasa tia;gainsay
gaiter a wɔde di dwuma;gaiter
gala;gala
galactagogue a ɛyɛ nwonwa;galactagogue
galactic a ɛyɛ nwonwa;galactic
galactic akyi;extragalactic
galactose a ɛwɔ nipadua no mu;galactose
galacturonic acid a ɛwɔ nipadua no mu;galacturonic acid
galago;galago
galapagofo kasa;Galapagoan
galapagos nsupɔw so;Galapagos Islands
galatifo;Galatians
gale a ɛretu;gale
galego na ɔkyerɛwee;Galego
galeke;garlic
galen na ɔkyerɛwee;Galen
galena a wɔfrɛ no galena;galena
galeophobia a ɛyɛ hu;galeophobia
galicia na ɛwɔ hɔ;Galicia
galician kasa;Galician
galilea;Galilee
galileafo;Galilean
galimatias a ɛyɛ yare;galimatias
gall;gall
gallant a ɔyɛ;gallant
galleon a wɔfrɛ no galleon;galleon
gallerist ho nimdefo;gallerist
gallery a wɔde kyerɛ;gallery
galley a wɔde hyɛn mu;galley
gallic kasa mu;Gallic
gallicize a wɔde hyɛ mu;gallicize
gallienus na ɔkyerɛwee;Gallienus
galliot a ɛyɛ den;galliot
gallipoli na ɔkyerɛwee;Gallipoli
gallium a wɔfrɛ no gallium;gallium
gallium arsenide a wɔde yɛ aduru;gallium arsenide
gallop a wɔde tu mmirika;gallop
gallows anomaa;gallows bird
gallows aseresɛm;gallows humor
gallstone;gallstone
galore a ɛyɛ den;galore
galosh na ɛyɛ;galosh
galvanic a wɔde yɛ nneɛma;galvanic
galvanically na ɛyɛ adwuma;galvanically
galvanization a wɔde yɛ nneɛma;galvanization
galvanize a wɔde yɛ nneɛma;galvanize
galvanometer a wɔde kyerɛ sɛnea nneɛma te;galvanometer
galvanometric a wɔde yɛ nneɛma;galvanometric
galway bay na ɛwɔ hɔ;Galway Bay
galɔn;gallon
gambia kasa;Gambian
gambia na ɛwɔ hɔ;Gambia
gambit a wɔde di dwuma;gambit
game no aba awiei;game over
gamekeeper a ɔhwɛ mmoa so;gamekeeper
gamete a wɔfrɛ no gamete;gamete
gametophyte a wɔfrɛ no gametophyte a wɔfrɛ no gametophyte;gametophyte
gamilaraay na ɔkyerɛwee;Gamilaraay
gamma a wɔfrɛ no gamma;gamma
gamma ray a ɛyɛ hyew;gamma ray
gamut;gamut
gander a wɔde di dwuma;gander
ganesha na ɔkyerɛwee;Ganesha
ganges na ɛwɔ hɔ;Ganges
ganglial a ɛyɛ mmerɛw;ganglial
ganglion a ɛyɛ mmerɛw;ganglion
ganglion cyst a ɛyɛ mmerɛw;ganglion cyst
gangrene a ɛma obi nya gangrene;gangrene
gangtok na ɛwɔ hɔ;Gangtok
gangue a wɔde di dwuma;gangue
gangway a wɔde di dwuma;gangway
gannet a wɔfrɛ no gannet;gannet
gantry a wɔde di dwuma;gantry
ganymede a ɔyɛ ɔkyerɛwfo;Ganymede
gap afe;gap year
gape;gape
garaagye;garage
garbanzo a wɔfrɛ no garbanzo;garbanzo
garcia na ɔkyerɛwee;Garcia
gardenia a ɛyɛ fɛ;gardenia
garganey a ɛyɛ fɛ;garganey
gargle a wɔde hyɛ mu;gargle
gargoyle a wɔde yɛ adwuma;gargoyle
garish a ɛyɛ fɛ;garish
garlic paanoo;garlic bread
garlic press a wɔde yɛ nneɛma;garlic press
garlicky a ɛyɛ galik;garlicky
garnet a wɔfrɛ no garnet;garnet
garnish a wɔde siesie fie;garnish
garonne na ɔkyerɛwee;Garonne
garret;garret
garron;garron
garrulity a wɔde di dwuma;garrulity
garter a wɔde yɛ adwuma;garter
gas;gas
gas a wɔde di dwuma ɔkwammɔne so;gas guzzler
gas a wɔde fa nsu mu;gas pipeline
gas a wɔde gu mu;gas tank
gas a ɛkɔ soro;gas up
gas a ɛnyɛ adwuma;inert gas
gas a ɛyɛ anuonyam;noble gas
gas akataso;gas mask
gas dan a ɛwɔ dan mu;gas chamber
gas kɛse bi;gas giant
gas pɔmpɛ;gas pump
gas turbine a wɔde yɛ adwuma;gas turbine
gascony na ɔkyerɛwee;Gascony
gash;gash
gasify;gasify
gasket a wɔde yɛ adwuma;gasket
gasp;gasp
gassy a ɛyɛ hyew;gassy
gastrinoma a ɛma obi nya yare;gastrinoma
