h-ɔtopae a wɔde tow;H-bomb
ha;ha
ha;here
ha;hither
ha;hurt
ha adwene;disturb
ha ho;bother
ha na wowɔ;here you are
ha ne ha;here and there
ha-ha;ha-ha
haapsalu na ɔkyerɛwee;Haapsalu
haarlem na ɔkyerɛwee;Haarlem
habakuk;Habakkuk
habanera na ɛyɛ;habanera
habel;Abel
haberdashery a wɔde yɛ nneɛma;haberdashery
habsburg na ɔkyerɛwee;Habsburg
hacienda a ɛwɔ hɔ;hacienda
hack;hack
hackamore na ɛyɛ adwuma;hackamore
hackberry a wɔfrɛ no hackberry;hackberry
hacker a ɔyɛ hacker;hacker
hackle na ɛyɛ adwuma;hackle
hackneyed a wɔde ayɛ adwuma;hackneyed
hacksaw a wɔde hyɛ mu;hacksaw
hadada ibis na ɛwɔ hɔ;hadada ibis
hadal;hadal
haddock a wɔfrɛ no haddock;haddock
hades;Hades
hadith;hadith
hadrian na ɔkyerɛwee;Hadrian
hadron a wɔfrɛ no hadron;hadron
haecceity a ɛyɛ den;haecceity
haemo- .;haemo-
haemophilia a ɛma mogya tu;haemophilia
haemophilic a ɛma mogya tu;haemophilic
hafnium a wɔfrɛ no hafnium;hafnium
haft;haft
hag;hag
hagai;Haggai
hagar;Hagar
hagfish a wɔfrɛ no hagfish;hagfish
haggard, a ɛyɛ mmerɛw;haggard
haggis na ɛyɛ;haggis
haggle a wɔde di dwuma;haggle
hagia sophia na ɔkyerɛwee;Hagia Sophia
hagio- .;hagio-
hagiographer ho ɔbenfo;hagiographer
hagiography a wɔde kyerɛw nsɛm;hagiography
hague a ɛwɔ hɔ no;The Hague
hagåtña na ɔkyerɛwee;Hagåtña
haha;haha
haha;LOL
hahaahayɔ;depression
hahamma;parsley
haidée na ɔkyerɛwee;Haidée
haiku;haiku
hainaut na ɔkyerɛwee;Hainaut
hairball a ɛyɛ kurukuruwa;hairball
hairdryer a wɔde twitwiw ti nhwi;hairdryer
hairnet;hairnet
hairpin a wɔde yɛ ti nhwi;hairpin
hairstyle;hairstyle
haiti na ɛwɔ hɔ;Haiti
haitifo creole kasa mu;Haitian Creole
haitifo kasa;Haitian
hajduk;hajduk
hajj;hajj
hake;hake
halacha na ɛyɛ;Halacha
halal;halal
halation (halation) a wɔde di dwuma;halation
halberd a wɔfrɛ no halbard;halberd
halberdier a ɔyɛ ɔbarima;halberdier
halcyon a ɛyɛ den;halcyon
halcyon nna a ɛwɔ hɔ;halcyon days
haleluia na ɛyɛe;hallelujah
halibut;halibut
halide a wɔde yɛ adwuma;halide
halifax na ɛwɔ hɔ;Halifax
halitosis a ɛyɛ mmerɛw;halitosis
halley nsoromma asoɛe a wɔfrɛ no comet;Halley's Comet
halloween ho asɛm;Halloween
hallucinate a ɛyɛ nwonwa;hallucinate
hallucinogen a ɛma obi nya adwenem naayɛ;hallucinogen
halo;halo
haloalkane a wɔde yɛ nneɛma;haloalkane
halogen a wɔfrɛ no halogen;halogen
halophyte a wɔfrɛ no halophyte;halophyte
