H-bomb;H-ɔtopae a wɔde tow
ha-ha;ha-ha
ha;ha
Haapsalu;Haapsalu na ɔkyerɛwee
Haarlem;Haarlem na ɔkyerɛwee
Habakkuk;Habakuk
habanera;habanera na ɛyɛ
haberdashery;haberdashery a wɔde yɛ nneɛma
habit;suban
habitable;wobetumi atra mu
habitacle;atrae a wɔtra mu
habitat;atenaeɛ
habitation;atrae a wɔtra mu
habitual;ayɛ su
habitually;sɛnea ɛyɛ su
habituation;su a wɔde yɛ ade
Habsburg;Habsburg na ɔkyerɛwee
hacienda;hacienda a ɛwɔ hɔ
hack;hack
hackamore;hackamore na ɛyɛ adwuma
hackberry;hackberry a wɔfrɛ no hackberry
hacker;hacker a ɔyɛ hacker
hackle;hackle na ɛyɛ adwuma
hackneyed;hackneyed a wɔde ayɛ adwuma
hacksaw;hacksaw a wɔde hyɛ mu
hadada ibis;hadada ibis na ɛwɔ hɔ
hadal;hadal
haddock;haddock a wɔfrɛ no haddock
Hades;Hades
hadith;hadith
Hadrian;Hadrian na ɔkyerɛwee
hadron;hadron a wɔfrɛ no hadron
haecceity;haecceity a ɛyɛ den
haematologist;mogya ho ɔbenfo
haematology;mogya mu nhwehwɛmu
haemo-;haemo- .
haemophilia;haemophilia a ɛma mogya tu
haemophilic;haemophilic a ɛma mogya tu
haemorrhoids;akisikuru a ɛma mogya tu
hafnium;hafnium a wɔfrɛ no hafnium
haft;haft
hag;hag
Hagar;Hagar
hagfish;hagfish a wɔfrɛ no hagfish
Haggai;Hagai
haggard;haggard, a ɛyɛ mmerɛw
haggis;haggis na ɛyɛ
haggle;haggle a wɔde di dwuma
Hagia Sophia;Hagia Sophia na ɔkyerɛwee
hagio-;hagio- .
hagiographer;hagiographer ho ɔbenfo
hagiography;hagiography a wɔde kyerɛw nsɛm
Hagåtña;Hagåtña na ɔkyerɛwee
haha;haha
Haidée;Haidée na ɔkyerɛwee
haiku;haiku
hail from;asukɔtweaa fi
Hail Mary;Kamfo Maria
hail;kamfo
hailstone;asukɔtweaa abo
Hainaut;Hainaut na ɔkyerɛwee
hair conditioner;aduru a wɔde yɛ ti nhwi
hair salon;baabi a wɔyɛ ti nhwi
hair spray;aduru a wɔde petepete ti nhwi so
hair stylist;obi a ɔyɛ ti nhwi ho adwuma
hair;nwi
hairball;hairball a ɛyɛ kurukuruwa
hairbrush;brɔs a wɔde yɛ ti nhwi
haircut;ti nhwi a wɔatwitwa
hairdo;ti nhwi a wɔde yɛ
hairdresser;nea ɔyɛ ti nhwi ho adwuma
hairdryer;hairdryer a wɔde twitwiw ti nhwi
hairiness;nhwi a ɛyɛ fɛ
hairless;a nwi nnim
hairnet;hairnet
hairpin;hairpin a wɔde yɛ ti nhwi
hairstyle;hairstyle
hairy;nwi a ɛwɔ nwi
Haiti;Haiti na ɛwɔ hɔ
Haitian Creole;Haitifo Creole kasa mu
Haitian;Haitifo kasa
hajduk;hajduk
hajj;hajj
hake;hake
Halacha;Halacha na ɛyɛ
halal;halal
halation;halation (halation) a wɔde di dwuma
halberd;halberd a wɔfrɛ no halbard
halberdier;halberdier a ɔyɛ ɔbarima
halcyon days;halcyon nna a ɛwɔ hɔ
halcyon;halcyon a ɛyɛ den
half brother;onua a ɔyɛ ne maame nua
half nephew;ne wɔfase fã
half past;fã atwam
half smile;fã serew
half time;fã bere
half-breed;fã-a ɛyɛ ɔkwan a wɔfa so yɛ no
half-hearted;a ne koma fã yɛ
half-life;fã-nkwa
half-moon;ɔsram fã
half-naked;a ɔda adagyaw fã
half-truth;nokware fã
half-uncle;ɔfã-nua barima
half;fa
halibut;halibut
halide;halide a wɔde yɛ adwuma
Halifax;Halifax na ɛwɔ hɔ
halitosis;halitosis a ɛyɛ mmerɛw
hall of fame;asa a wɔde gye din
hall;asa so
hallelujah;haleluia na ɛyɛe
Halley's Comet;Halley Nsoromma Asoɛe a wɔfrɛ no Comet
hallow;kronkron
hallowed;wɔatew ho
Halloween;Halloween ho asɛm
hallows;kronkronbea ahorow
hallucinate;hallucinate a ɛyɛ nwonwa
hallucination;nsusuwii hunu
hallucinogen;hallucinogen a ɛma obi nya adwenem naayɛ
hallucinogenic;a ɛma obi nya adwenem naayɛ
halo;halo
haloalkane;haloalkane a wɔde yɛ nneɛma
halogen;halogen a wɔfrɛ no halogen
halophyte;halophyte a wɔfrɛ no halophyte
halotherapy;halotherapy a wɔde sa yare
halt;gyina
halter;halter
halva;halva
halve;fã
ham it up;ham no kɔ soro
ham;ham
hamadryad;hamadryad a wɔde di dwuma
hamartia;hamartia na ɛyɛ
Hamas;Hamas
hamate bone;hamate dompe
Hamburg;Hamburg na ɛwɔ hɔ
hamburger;hamburger a wɔde yɛ aduan
Hamilcar;Hamilcar na ɔkyerɛwee
hamlet;akuraa ketewaa bi
hammer and sickle;hama ne nkankyee
hammer;hama a wɔde yɛ hama
hammerhead;hama ti
hammerkop;hama a wɔde di dwuma
hammock;hammock a wɔde yɛ adwuma
hamper;hamper
hamster;hamster a wɔfrɛ no hamster
hand dryer;nsa a wɔde twitwiw nneɛma
hand grenade;nsa a wɔde tow atopae
hand in hand;nsa a wɔde abɔ mu
hand in;nsa a wɔde hyɛ mu
hand net;nsa asau
hand over;nsa a wɔde ma
hand sanitizer;nsa ho aduru a wɔde tew nsa
hand tool;nsaano adwinnade
hand truck;nsa lɔre a wɔde fa nneɛma
hand;nsa
handbag;nsa bag
handball player;nsaano bɔɔlbɔfo
handball;nsaano bɔɔlbɔ
handbook;nsaano nkyerɛwee
handbrake;nsa breki a wɔde di dwuma
handcrafted;nsaanodwuma a wɔde yɛ adwuma
handcuff;nsa a wɔde kyekyere nsa
handcuffs;nsa a wɔde kyekyere nsa
handedness;nsa a wɔde di dwuma
handfast;nsa a wɔde kyekyere wɔn ho
handful;nsa kakraa bi
handgun;nsaano tuo
handhold;nsa a wɔde hyɛ mu
handicap;mmubuafo
handicapped;wɔn a wɔadi dɛm
handicraft;nsaanodwuma
handkerchief;nsateaa a wɔde hyɛ nsa
handle;di ho dwuma
handlebar;nsateaa a wɔde di dwuma
handless;nsa nnim
handling;sɛnea wodi ho dwuma
handmade;nsaanodwuma
handmaid;nsaanodwumayɛbea
handpicked;nsa a wɔde paw no
handrail;nsa a wɔde hyɛ nsa
hands off;nsa a wɔde fi hɔ
hands up;nsa a wɔde kɔ soro
hands-on;nsaanodwuma a wɔde yɛ adwuma
handsaw;nsaano nkyerɛwee
handshake;nsa a wɔde kyekyere wɔn ho
handsome;ahoɔfɛ
handspike;nsaano nkyerɛwee
handstand;nsa a wɔde gyina hɔ
handwrite;nsaano nkyerɛwee
handwriting;nsaano nkyerɛwee
handy;nsaanodwuma
handyman;nsaanodwumayɛfo
hang by a thread;sɛn asaawa bi so
hang glider;hang glider a ɛsensɛn hɔ
hang gliding;hang gliding a wɔde sɛn hɔ
hang on;sɛn hɔ
hang out to dry;sɛn wo ho ma ɛyow
hang out;kɔgye w'ani
hang up;fa telefon no to hɔ
hang;sɛn
hangar;hangar
hanger-on;hanger-on a wɔde sɛn so
hanger;hanger a wɔde sɛn so
Hangeul;Hangeul na ɔkyerɛwee
hanging;a wɔde sɛn hɔ
hangman;ɔsɛnkafo
hangnail;nnadewa a wɔde sɛn so
hangover;hangover a wɔde di dwuma
Hannah;Hana
