I am a doctor;Meyɛ oduruyɛfo
I am English;Meyɛ Engiresini
I am HIV positive;Mewɔ HIV
I can't find my ...;Me ntumi nnya me ...
I can't swim;Mintumi nguare
I don't care;M’ani nnye ho
I don't drive;Menka kar
I don't eat fish;Menni mpataa
I don't eat meat;Menni nam
I don't eat pork;Menni mprako nam
I don't know;Mennim
I don't think so;Minsusuw sɛ ɛte saa
I don't understand;Mente aseɛ
I don't want it;Mempɛ
I hate you;Metan wo
I have a cold;Mewɔ atiridiinini
I have a fever;Mewɔ atiridiinini
I have a headache;Me ti yɛ me yaw
I have a question;Mewɔ asɛmmisa bi
I have AIDS;Mewɔ AIDS
I have asthma;Mewɔ ayamtu
I have cancer;Mewɔ kokoram
I have diabetes;Mewɔ asikreyare
I have no money;Minni sika biara
I know;menim
I like you;mepɛ w'asɛm
I live in Melbourne;Mete Melbourne wɔ hɔ
I lost my backpack;Mehweree m’akyi bag no
I lost my glasses;Mehweree m’aniwa ahwehwɛ no
I lost my handbag;Mehweree me nsa bag
I lost my keys;Mehweree me nsafe
I lost my wallet;Mehweree me sika kotoku
I love you;medɔ wo
I miss you;mafe wo
I must go;Ɛsɛ sɛ mekɔ
I need ...;Me hia ...
I need to vomit;Ɛsɛ sɛ mefe
I tell a lie;Meka atosɛm
I think so;Misusuw sɛ saa
I told you so;Meka kyerɛɛ wo saa
I want to know;Mepɛ sɛ mihu
I was born in ...;Wɔwoo me wɔ ...
I wish;Me yam a
I'd like to kiss you;Mepɛ sɛ mefew wo ano
I'd like to know;Mepɛ sɛ mihu
I'll call the police;Mɛfrɛ polisifo
I'm ... year(s) old;Meyɛ ... afe (afe).
I'm a Buddhist;Meyɛ Buddhafo
I'm a Catholic;Meyɛ Katolekni
I'm a Christian;Meyɛ Kristoni
I'm a Muslim;Meyɛ Nkramofo
I'm a Protestant;Meyɛ Protestantni
I'm a vegetarian;Meyɛ obi a onni afifide
I'm afraid not;Me suro sɛ ɛnyɛ saa
I'm agnostic;Meyɛ obi a meyɛ agnostic
I'm an atheist;Meyɛ obi a onnye nni sɛ Onyankopɔn wɔ hɔ
I'm ashamed;M’ani awu
I'm bisexual;Meyɛ obi a ɔpɛ ɔbarima ne ɔbea nna
I'm bleeding;Mogya retu me
I'm blind;M’ani afura
I'm busy;Mewɔ adagyew
I'm cold;Me ho ayɛ me nwini
I'm confused;M’adwene atu afra
I'm deaf;Meyɛ asotifo
I'm divorced;Me ne awaregyae
I'm dying;Merewu
I'm embarrassed;M’ani awu
I'm fine, thank you;Me ho ye, meda wo ase
I'm fine;me ho yɛ
I'm gay;Meyɛ gay
I'm hot;Me ho yɛ hyew
I'm hungry;Ɔkɔm de me
I'm in love with you;Mewɔ ɔdɔ ma wo
I'm Jewish;Meyɛ Yudani
I'm lost;Me ayera
I'm married;Meyɛ ɔwarefo
I'm mute;Meyɛ mum
I'm not interested;M’ani nnye ho
I'm not religious;Menyɛ nyamesomni
I'm pregnant;Me nyinsɛn
I'm scared;Me suro
I'm sick;Meyare
I'm single;Meyɛ sigyani
I'm sorry;Kafra
I'm straight;Meyɛ tẽẽ
I'm thirsty;Sukɔm de me
I'm tired;Mebrɛ
I'm twenty years old;Madi mfe aduonu
I'm;Me
I've been raped;Wɔato me mmonnaa
I've been robbed;Wɔabɔ me korɔn
I've been shot;Wɔatow me tuo
I've burned myself;Mahye me ho
I've;Me deɛ
i.e.;kyerɛ sɛ
i;me
iamb;iamb
iambic pentameter;iambic pentameter a ɛyɛ fɛ
iambic;iambic a wɔde di dwuma
Iamblichus;Iamblichus na ɔkyerɛwee
Ian;Ian
Iapetus;Iapetus na ɔkyerɛwee
iatrogenesis;iatrogenesis a ɛba
iatrogenic;iatrogenic a ɛma nipadua no yɛ adwuma
iatrophobia;iatrophobia a ɛyɛ hu
Iberia;Iberia na ɛwɔ hɔ
Iberian lynx;Iberian lynx a wɔfrɛ no lynx
Iberian Peninsula;Iberia Po no so
Iberian;Iberian kasa
ibex;ibex a wɔfrɛ no ibex
ibis;ibis
Ibiza;Ibiza na ɛwɔ hɔ
Ibizan Hound;Ibizan Ɔkraman a ɔyɛ ɔkraman
Ibizan;Ibizan na ɔkyerɛwee
iBook;iBook
IBSA;IBSA na ɛwɔ hɔ
ibuprofen;ibuprofen a wɔde di dwuma
ICAO;ICAO na ɛwɔ hɔ
Icarus;Icarus na ɔkyerɛwee
ice axe;nsukyenee agyan
ice cap;nsukyenee a wɔde ahyɛ mu
ice core;nsukyenee a ɛwɔ mu
ice cream maker;ice cream yɛfo a ɔyɛ
ice cream parlor;ice cream dan a wɔtɔn nneɛma wom
ice cream;abele
ice cube;nsukyenee a wɔde yɛ nsukyenee
ice dam;ice dam
ice field;nsukyenee afuw
ice hockey;ice hockey a wɔbɔ
ice lolly;nsukyenee so lolly
ice milk;nsukyenee nufusu
ice over;nsukyenee a ɛwɔ so
ice pack;nsukyenee a wɔde ahyɛ mu
ice resurfacer;nsukyenee a ɛsan ba soro
ice rink;nsukyenee a wɔde di agoru
ice sheet;nsukyenee a wɔde ayɛ ade
ice shelf;nsukyenee a wɔde yɛ ade
ice skate;nsukyenee so skate a wɔde tu mmirika
ice tray;nsukyenee tray
ice-cold;nsukyenee a ɛyɛ nwini
ice;nsuboɔ
iceberg lettuce;nsukyenee so lettuce
iceberg;nsukyenee bepɔw
icebreaker;nsukyenee a wɔbubu
iced coffee;kɔfe a wɔde nsukyenee ayɛ
iced tea;tii a wɔde nsukyenee ayɛ
Iceland;Iceland na ɛwɔ hɔ
Icelander;Icelandni a ofi hɔ
Icelandic;Iceland kasa mu
icepick;icepick a wɔde yɛ nsukyenee
ichthyological;ichthyological ho nimdeɛ
ichthyologist;ichthyologist ho ɔbenfo
ichthyology;ichthyology ho adesua
ichthyoplankton;ichthyoplankton a wɔde yɛ nneɛma
ichthyosaur;ichthyosaur a wɔfrɛ no ichthyosaur
ichthyosis;ichthyosis a ɛma obi nya ɔyare
icicle;icicle a ɛyɛ nsukyenee
icing;icing a wɔde yɛ nneɛma
icon;ahyɛnsode
iconoclasm;ahoni a wɔsɛe no
iconoclast;ahoni a wɔsɛe no
iconography;mfoniniyɛ ho mfonini
iconology;ahoni ho adesua
iconostasis;iconostasis a wɔde gyina hɔ ma
icosahedron;icosahedron a wɔde di dwuma
icy;nsukyenee
ID card;ID krataa
id;id
