j-pop na ɛyɛ;J-pop
jab;jab
jabber a ɔyɛ;jabber
jabberwock na ɔkyerɛwee;Jabberwock
jabiru;jabiru
jacamar na ɔkyerɛwee;jacamar
jacaranda na ɔkyerɛwee;jacaranda
jack a wɔde abohene ayɛ;jack of diamonds
jack a wɔde huruw;jumping jack
jack a wɔde nnua ayɛ;jack of clubs
jack a wɔde yɛ adwuma;jack
jack a wɔde yɛ spades;jack of spades
jack a ɔyɛ adwuma nyinaa;jack of all trades
jack a ɔyɛ ripper no;Jack the Ripper
jack a ɛwɔ koma mu;jack of hearts
jack a ɛyɛ hwerɛma;slippery jack
jack off na ɛyɛ adwuma;jack off
jack russell terrier a ɔyɛ ɔkraman;Jack Russell terrier
jack shit na ɛyɛ;jack shit
jack-a-wɔ-adaka no mu;jack-in-the-box
jack-knife a wɔde di dwuma;jack-knife
jack-o'-kanea a wɔde yɛ kanea;jack-o'-lantern
jackal a ɔyɛ ɔkraman;jackal
jackass a ɔyɛ ɔbarima;jackass
jackdaw, a wɔfrɛ no jackdaw;jackdaw
jackfruit a wɔde yɛ aduan;jackfruit
jackhammer a wɔde di dwuma;jackhammer
jackpot a wɔde yɛ adwuma;jackpot
jackrabbit a ɔyɛ ɔkraman;jackrabbit
jacky na ɔkyerɛwee;Jacky
jacobean kasa;Jacobean
jacobianfo de;Jacobian
jacqueline na ɔkyerɛwee;Jacqueline
jade a wɔde yɛ adwuma;jade
jaded;jaded
jaffa;Jaffa
jaffa a ɛyɛ borɔdɔma;Jaffa orange
jaggery a wɔde di dwuma;jaggery
jaguar a wɔfrɛ no jaguar;jaguar
jaguarundi a ɛyɛ jaguarundi;jaguarundi
jahannam na ɔkyerɛwee;Jahannam
jai alai;jai alai
jainsom;Jainism
jakarta na ɛwɔ hɔ;Jakarta
jalalabad na ɛwɔ hɔ;Jalalabad
jalebi;jalebi
jalisco na ɔkyerɛwee;Jalisco
jalopy a ɛyɛ fɛ;jalopy
jalousie a wɔde yɛ adwuma;jalousie
jam;jam
jamaica channel a ɛwɔ hɔ;Jamaica Channel
jamaica na ɛwɔ hɔ;Jamaica
jamaicafo;Jamaican
jamaicafo creole kasa mu;Jamaican Creole
jamb;jamb
jambalaya;jambalaya
jamboree a wɔde yɛ adwuma;jamboree
jamestown na ɔkyerɛwee;Jamestown
jammu ne kashmir na ɛwɔ hɔ;Jammu and Kashmir
jan mayen na ɔkyerɛwee;Jan Mayen
jandal;jandal
jane;Jane
janissary a ɔyɛ ɔkyerɛwfo;janissary
janle;jangle
janus na ɔkyerɛwee;Janus
jap;Jap
japan;Japan
japan po so;Sea of Japan
japanfo a wɔde wɔn ho hyɛ mu;Japanification
japanfo a wɔde wɔn ho hyɛ ɔbarima ne ɔbea nna mu;Japanophilia
japanfo a wɔfrɛ wɔn eel;Japanese eel
japanfo a wɔyɛ wɔn ade;Japaneseness
japanfo a ɔbɔ wɔn ho ban;Japanophile
japanfo kasa;Japanese
japanfo yew a wɔfrɛ no yew;Japanese yew
japchae a wɔfrɛ no japchae;japchae
japonic, na ɔkyerɛwee;Japonic
jarbua a ɛyɛ terapon;jarbua terapon
jarring a ɛyɛ hu;jarring
jasmine a wɔde yɛ adwuma;jasmine
jasmine aburow a wɔde ayɛ;jasmine rice
jason na ɔkyerɛwee;Jason
jasper a wɔfrɛ no jasper;jasper
jaundice a ɛma obi ho yɛ hyew;jaundice
jaundiced a ɛwɔ nipadua no mu;jaundiced
jaunt;jaunt
jauntiness a ɛyɛ fɛ;jauntiness
jaunty a ɛyɛ fɛ;jaunty
jauntyly na ɛyɛ;jauntily
java;Java
javan asono a wɔyɛ asono;Javan rhinoceros
javan ɔkraman;Javan tiger
javanese kasa;Javanese
jay na ɛyɛ;jay
jaywalk a wɔde yɛ adwuma;jaywalk
jaywalker a ɔyɛ ɔbarima;jaywalker
jazz nnwom a wɔfrɛ no jazz;jazz
jazz nnwontofo kuw;jazz band
jazzy nnwom;jazzy
je ne sais quoi;je ne sais quoi
jeans a wɔde yɛ adwuma;jeans
