J-pop;J-pop na ɛyɛ
jab;jab
jabber;jabber a ɔyɛ
Jabberwock;Jabberwock na ɔkyerɛwee
jabiru;jabiru
jacamar;jacamar na ɔkyerɛwee
jacaranda;jacaranda na ɔkyerɛwee
jack of all trades;jack a ɔyɛ adwuma nyinaa
jack of clubs;jack a wɔde nnua ayɛ
jack of diamonds;jack a wɔde abohene ayɛ
jack of hearts;jack a ɛwɔ koma mu
jack of spades;jack a wɔde yɛ spades
jack off;jack off na ɛyɛ adwuma
Jack Russell terrier;Jack Russell terrier a ɔyɛ ɔkraman
jack shit;jack shit na ɛyɛ
Jack the Ripper;Jack a ɔyɛ Ripper no
jack-in-the-box;jack-a-wɔ-adaka no mu
jack-knife;jack-knife a wɔde di dwuma
jack-o'-lantern;jack-o'-kanea a wɔde yɛ kanea
jack;jack a wɔde yɛ adwuma
jackal;jackal a ɔyɛ ɔkraman
jackass;jackass a ɔyɛ ɔbarima
jackdaw;jackdaw, a wɔfrɛ no jackdaw
jacket;gyakɛte
jackfruit;jackfruit a wɔde yɛ aduan
jackhammer;jackhammer a wɔde di dwuma
jackpot;jackpot a wɔde yɛ adwuma
jackrabbit;jackrabbit a ɔyɛ ɔkraman
Jacky;Jacky na ɔkyerɛwee
Jacob;Yakob
Jacobean;Jacobean kasa
Jacobian;Jacobianfo de
Jacqueline;Jacqueline na ɔkyerɛwee
jade;jade a wɔde yɛ adwuma
jaded;jaded
Jaffa orange;Jaffa a ɛyɛ borɔdɔma
Jaffa;Jaffa
jagged;a ɛyɛ nsensanee
jaggery;jaggery a wɔde di dwuma
jaguar;jaguar a wɔfrɛ no jaguar
jaguarundi;jaguarundi a ɛyɛ jaguarundi
Jahannam;Jahannam na ɔkyerɛwee
jai alai;jai alai
jail;fa to afiease
jailbait;afiase a wɔde wɔn kɔ
jailbird;afiase anomaa
jailbreak;afiase a wɔde to afiase
jailer;afiasehwɛfo
Jainism;Jainsom
Jakarta;Jakarta na ɛwɔ hɔ
Jalalabad;Jalalabad na ɛwɔ hɔ
jalebi;jalebi
Jalisco;Jalisco na ɔkyerɛwee
jalopy;jalopy a ɛyɛ fɛ
jalousie;jalousie a wɔde yɛ adwuma
jam;jam
Jamaica Channel;Jamaica Channel a ɛwɔ hɔ
Jamaica;Jamaica na ɛwɔ hɔ
Jamaican Creole;Jamaicafo Creole kasa mu
Jamaican;Jamaicafo
jamb;jamb
jambalaya;jambalaya
jamboree;jamboree a wɔde yɛ adwuma
James;Yakobo
Jamestown;Jamestown na ɔkyerɛwee
Jammu and Kashmir;Jammu ne Kashmir na ɛwɔ hɔ
Jan Mayen;Jan Mayen na ɔkyerɛwee
jandal;jandal
Jane;Jane
jangle;janle
janissary;janissary a ɔyɛ ɔkyerɛwfo
janitor;ɔdansifo a ɔhwɛ nneɛma so
January;Ɔpɛpɔn
Janus;Janus na ɔkyerɛwee
Jap;Jap
Japan;Japan
Japanese eel;Japanfo a wɔfrɛ wɔn eel
Japanese yew;Japanfo yew a wɔfrɛ no yew
Japanese;Japanfo kasa
Japaneseness;Japanfo a wɔyɛ wɔn ade
Japanification;Japanfo a wɔde wɔn ho hyɛ mu
Japanophile;Japanfo a ɔbɔ wɔn ho ban
Japanophilia;Japanfo a wɔde wɔn ho hyɛ ɔbarima ne ɔbea nna mu
japchae;japchae a wɔfrɛ no japchae
Japheth;Yafet
Japonic;Japonic, na ɔkyerɛwee
jar;kuruwa kɛseɛ
jarbua terapon;jarbua a ɛyɛ terapon
jargon;kasakoa a wɔde di dwuma
jarring;jarring a ɛyɛ hu
jasmine rice;jasmine aburow a wɔde ayɛ
jasmine;jasmine a wɔde yɛ adwuma
Jason;Jason na ɔkyerɛwee
jasper;jasper a wɔfrɛ no jasper
jaundice;jaundice a ɛma obi ho yɛ hyew
jaundiced;jaundiced a ɛwɔ nipadua no mu
jaunt;jaunt
jauntily;jauntyly na ɛyɛ
jauntiness;jauntiness a ɛyɛ fɛ
jaunty;jaunty a ɛyɛ fɛ
Java;Java
Javan rhinoceros;Javan asono a wɔyɛ asono
