k'iche'.;K'iche'
k-drama a wɔde di dwuma;K-drama
k-pop na ɛyɛ;K-pop
ka;bite
ka;remain
ka;say
ka;stall
ka;stick
ka adom;say grace
ka aduro;paint
ka akoma;charming
ka akyi;delay
ka asɛm a wɔde ano ka;oralize
ka asɛm no kyerɛ nnwontofo kuw no;preach to the choir
ka asɛmpa no;evangelize
ka bom;combine
ka bom;join
ka bom;merge
ka bom;sum
ka bom;together
ka ho;accompany
ka ho;among
ka ho;belong
ka ho;involve
ka ho asɛm;comment out
ka ho asɛm;narrate
ka ho asɛm boro so;overstate
ka ho asɛmpa;say goodbye
ka ho ne;along with
ka kokoam nsɛm;confide
ka kyerɛ;tell
ka kyerɛ off;tell off
ka kyerɛɛ;told
ka no bɔkɔɔ;whisper
ka nokware;tell the truth
ka nsɛm a ɛyɛ dɛ;articulate
ka ntam;swear
ka sɛ;saying
ka tia;criticism
ka to hɔ;predict
ka w'ano tom;shut up
ka wo ho;hurry up
ka wo ho;hurry
ka ɔbonsam ho asɛm;speak of the devil
kaa;car
kaa;said
kaa kar no;drove
kaa na ɔyɛɛ;said and done
kaaba;Kaaba
kaad a wɔde di agoru;playing card
kaad a wɔkan;card counting
kaad agodie;card game
kaad kɔkɔɔ;red card
kaad kɔkɔɔ;yellow card
kaad no;card
kabballah na ɛwɔ hɔ;Kabballah
kabege fitaa;white cabbage
kabegyi;cabbage
kabimamenkabi;democracy
kabinet soafo panyin;cabinet minister
kabinet yɛfo;cabinetmaker
kabul;Kabul
kabyle na ɔkyerɛwee;Kabyle
kadan krataa;invoice
kae;recall
kae;recollect
kae;remember
kae;remind
kaesare;Caesar
kaesarea a wɔde yɛɛ adwuma;Caesarea
kaete;kite
kafkaesque kasa mu;Kafkaesque
kafra;I'm sorry
kafra;sorry
kagoshima na ɔkyerɛwee;Kagoshima
kahlúa na ɔkyerɛwee;Kahlúa
kain;Cain
kain agyiraehyɛde;mark of Cain
kainic;kainic
kaiser na ɔkyerɛwee;Kaiser
kakaduro;ginger
kakao;cacao
kakistokrase a wɔde di dwuma;kakistocracy
kakra;a little
kakra;bit
kakra;glimpse
kakra;little
kakra;mild
kakra;moderate
kakra;slight
kakra bi;few
kakra bi;fewer
kakra bi;slightly
kakra pii;a bit much
kakraa;large
kakraa bi;a few
kakraa bi;meager
kakraa bi;meagre
kakraa bi;sparingly
kakraa bi na ɛwɔ hɔ;scanty
kakraa bi pɛ;quite a few
kakumma;cucumber
kalash na ɔkyerɛwee;Kalash
kaldea;Chaldea
kale;kale
kaleidoscope a wɔde hwɛ nneɛma;kaleidoscope
kalenda a wɔde yɛ adwuma;calender
kalenda afe a wɔde yɛ adwuma;calendar year
kalenda ahorow;calends
kalenda kyerɛwfo;calendrer
kalenda so;calendar
kalenda ɔsram so;calendar month
kali na ɔkyerɛwee;Kali
kaliningrad na ɛwɔ hɔ;Kaliningrad
kalmyk na ɔkyerɛwee;Kalmyk
kalmykia na ɛwɔ hɔ;Kalmykia
kaluga na ɔkyerɛwee;Kaluga
kam;scar
kama;awesome
kama;cute
kama;dope
kama;fine
kama;nice
kama;pleasant
kamakama;fantastic
kamakama;subtle
kamchatka na ɔkyerɛwee;Kamchatka
kamfo;hail
kamfo maria;Hail Mary
kamikaze;kamikaze
kampalafoɔ;Kampala
kan;count
kan;read
kan a wɔkan kɔ akyi;countdown
kan abarimaa adamfo;ex-boyfriend
kan kɔ fam;count down
kan no;formerly
kan no;previously
kan no;used to
kan ɔmampanyin;ex-president
kana;kana
kanaan;Canaan
kanaan ɔkraman;Canaan Dog
kanagawa na ɔkyerɛwee;Kanagawa
kanamycin a wɔde di dwuma;kanamycin
kanarifo;Canarian
kanea;lamp
kanea;light
kanea a wɔde di dwuma;lightsaber
kanea a wɔde hwehwɛ nneɛma mu;searchlight
kanea a wɔde hwɛ nneɛma so;spotlight
kanea a wɔde hyɛ anim a wɔde ahyɛ mu;dipped headlight
kanea a wɔde hyɛ mu;light switch
kanea a wɔde hyɛ mu;lighting
kanea a wɔde hyɛ mu;lightstrip
kanea a wɔde tow kanea;flashlight
kanea a wɔde yɛ kanea;beacon
kanea a wɔde yɛ kanea;lampshade
kanea a wɔde yɛ kanea;lantern
kanea a wɔde yɛ kanea;light bulb
kanea a wɔde yɛ kyɛnere;Candlemas
kanea a ɛwɔ anim;headlight
kanea a ɛyɛ ahabammono;green light
kanea a ɛyɛ hyew;incandescent lamp
kanea dua;lamppost
kanea kɔkɔɔ mfoninitwa afiri;red light camera
kaneadua a wɔde yɛ kaneadua;chandelier
kaneadua a wɔde yɛ kaneadua;lighthouse
kaneadua a wɔfrɛ no candelabrum;candelabrum
kaneadua sohwɛfo;lighthouse keeper
kangaroo a wɔfrɛ no kangaroo;kangaroo
kangaroo jacket a wɔde yɛ adwuma;kangaroo jacket
kanji;kanji
kankane;wolf
kanko;circle
kanko;cycle
kankra;wheel
kankyee;cankle
kankyee yare;motion sickness
kankyeɛ;meditation
kannada kasa mu;Kannada
kannifoɔ;leader
kansas kuropɔn mu;Kansas City
kansas na ɛwɔ hɔ;Kansas
kantian kasa;Kantian
kantinka;prime
kanton;canton
kanyan;arouse
kanyan;boost
kanyan obi;incite
kanyan obi;motivate
kanyan obi;stimulate
kaohsiung na ɔkyerɛwee;Kaohsiung
kaolin a wɔde yɛ adwuma;kaolin
kapadokia;Cappadocia
kapernaum;Capernaum
kapet ɔwɔ a ɔyɛ;carpet snake
kapitalism a wɔde di dwuma;capitalism
kapitalistfo;capitalist
kapitalistfo a wɔyɛ adwumaden;capitalistic
kapok;kapok
kappa;kappa
kaqchikel na ɔkyerɛwee;Kaqchikel
kar a anyinam ahoɔden wom;electric car
kar a wɔde bamper ayɛ;bumper car
kar a wɔde di dwuma;automobile
kar a wɔde di dwuma;vehicular
kar a wɔde fa kar;motor vehicle
kar a wɔde fa nhama so;cable car
kar a wɔde fa nnipa;passenger car
kar a wɔde fa nnipa;trailer
kar a wɔde fa sukyerɛmma so;snowmobile
kar a wɔde hwɛ nneɛma so;patrol car
kar a wɔde kɔ kar mu;drive-off
kar a wɔde kɔ mu;drive-in
kar a wɔde tu mmirika;race car
kar a wɔde tua ho ka;car rental
kar a wɔde tua ho ka;rental car
kar a wɔde yɛ adwuma;automotive
kar a ɛda hɔ;sleeping car
kar akwan a ɛyɛ kyenkyenenn;traffic jam
kar akwan ho kyinhyia;traffic circle
kar akwan ho sɛnkyerɛnne;traffic sign
kar akwan so cone;traffic cone
kar akwan supɔw so;traffic island
kar dan mu tɔn;garage sale
kar fã bi;car part
kar ho adwumayɛfo;auto mechanic
kar ho insurance;auto insurance
kar hohoro;car wash
kar kanea;traffic light
kar kwan so;motorway
kar no kɔ;drive away
kar pon ano;car door
karachi na ɛwɔ hɔ;Karachi
karaj;Karaj
karakalpak na ɔkyerɛwee;Karakalpak
karaoke a wɔde yɛ adwuma;karaoke bar
karaoke a wɔyɛ;karaoke
karaoke afiri a wɔde yɛ adwuma;karaoke machine
karburetor a wɔde yɛ adwuma;carburetor
kardinal na ɔyɛ adwuma;cardinal
kardinal nɔma;cardinal number
karelia na ɔkyerɛwee;Karelia
karelian na ɔkyerɛwee;Karelian
kari;assess
kari;evaluate
kari;weigh
kari a ɛnkari pɛ;imbalance
kari pɛ;equilibrium
kari sɛkyɛ;weigh anchor
karka a ɛboro so;oversteer
karka ho sɔhwɛ;driving test
karka ho tumi krataa;driver's license
karka sukuu;driving school
karkafo;motorist
karkafo a ɔka kar;chauffeur
karkin na ɔkyerɛwee;Karkin
karma;karma
karmel;Carmel
karnataka na ɛwɔ hɔ;Karnataka
karst a wɔde di dwuma;karst
kartɔn-pierre a wɔde yɛ adwuma;carton-pierre
karyogram a wɔde kyerɛw nsɛm;karyogram
karɔto;carrot
kasa;language
kasa;speak out
kasa;speak
kasa;talk
kasa a nnipa kakraa bi na wɔka;minority language
kasa a wɔasisi;constructed language
kasa a wɔatew ne ho;language isolate
kasa a wɔbɔɔ ho amanneɛ;reported speech
kasa a wɔde bɔ nkɔmmɔ;prattle
kasa a wɔde di dwuma wɔ tete mmere mu;classical language
kasa a wɔde di dwuma wɔ ɔkwan a ɛyɛ nwonwa so;lingua franca
kasa a wɔde hyɛ agyirae;markup language
kasa a wɔde kasa;parlance
kasa a wɔde sesa wɔn ho wɔn ho;language exchange
kasa a wɔka;dialect
kasa a wɔka no kasa;loquacity
kasa a wɔka no yiye;articulateness
kasa a wɔka no yiye;eloquence
kasa a wɔka tẽẽ;direct speech
kasa a ɛboa;auxiliary language
kasa a ɛkorɔn;high-level language
kasa a ɛkorɔn;speak highly
kasa a ɛkɔ yɔɔ;fluency
kasa a ɛne ne ho di nsɛ;paralanguage
kasa a ɛne ne ho di nsɛ;paralinguistic
kasa a ɛnyɛ nea wɔde di dwuma;talk out of turn
kasa a ɛto so abien;second language
kasa a ɛyɛ dɛ;eloquent
kasa abien;doublespeak
kasa abien a wɔka;bilingual
kasa abien a wɔka;bilingualism
kasa abiɛsa;trilingual
kasa abusua;language family
kasa ahorow ntam;Interlingua
kasa ahorow pii a wɔka;multilingualism
kasa akɛse;talk big
kasa anan a wɔde di dwuma;quadrilingual
kasa ase kasa;sublingual
kasa asekyerɛ;translingual
kasa biako a wɔka;monolingual
kasa dodow a wɔka;polyglot
kasa ho adesua;linguistics
kasa ho adesua;philology
kasa ho nimdefo;linguist
kasa ho nimdeɛ;linguistic
kasa ho nimdeɛ;philological
kasa ho nimdeɛ a atwam;paleolinguistics
kasa ho nimdeɛ mu;philologically
kasa ho ɔbenfo;philologist
kasa ho ɔboafo;language assistant
kasa horow a ɛne ne ho di nsɛ;paralinguistics
kasa horow pii;multilingual
kasa mmara;grammar
kasa mmara mu;grammatical
kasa mmara mu adwene;grammatical mood
kasa mmara mu asɛm;grammatical case
kasa mmara mu nsɛm;grammaticality
kasa mu;lingual
kasa mu ahofadi;free speech
kasa mu ahurututu;speech bubble
kasa mu akwanside;language barrier
kasa mu kasa;colloquial
kasa mu nsɛm;verbalist
kasa mu nsɛm a wɔka;colloquialism
kasa tia;condemn
kasa tia;criticise
kasa tia;denounce
kasa wɔ;talk at
kasadwini;literature
kasae;spoke
kasafoɔ;talkative
