K'iche';K'iche'.
K-drama;K-drama a wɔde di dwuma
K-pop;K-pop na ɛyɛ
Kaaba;Kaaba
Kabballah;Kabballah na ɛwɔ hɔ
Kabul;Kabul
Kabyle;Kabyle na ɔkyerɛwee
Kafkaesque;Kafkaesque kasa mu
Kagoshima;Kagoshima na ɔkyerɛwee
Kahlúa;Kahlúa na ɔkyerɛwee
kainic;kainic
Kaiser;Kaiser na ɔkyerɛwee
kakistocracy;kakistokrase a wɔde di dwuma
Kalash;Kalash na ɔkyerɛwee
kale;kale
kaleidoscope;kaleidoscope a wɔde hwɛ nneɛma
Kali;Kali na ɔkyerɛwee
Kaliningrad;Kaliningrad na ɛwɔ hɔ
Kalmyk;Kalmyk na ɔkyerɛwee
Kalmykia;Kalmykia na ɛwɔ hɔ
Kaluga;Kaluga na ɔkyerɛwee
Kamchatka;Kamchatka na ɔkyerɛwee
kamikaze;kamikaze
Kampala;Kampalafoɔ
kana;kana
Kanagawa;Kanagawa na ɔkyerɛwee
kanamycin;kanamycin a wɔde di dwuma
kangaroo jacket;kangaroo jacket a wɔde yɛ adwuma
kangaroo;kangaroo a wɔfrɛ no kangaroo
kanji;kanji
Kannada;Kannada kasa mu
Kansas City;Kansas Kuropɔn mu
Kansas;Kansas na ɛwɔ hɔ
Kantian;Kantian kasa
Kaohsiung;Kaohsiung na ɔkyerɛwee
kaolin;kaolin a wɔde yɛ adwuma
kapok;kapok
kappa;kappa
Kaqchikel;Kaqchikel na ɔkyerɛwee
Karachi;Karachi na ɛwɔ hɔ
Karaj;Karaj
Karakalpak;Karakalpak na ɔkyerɛwee
karaoke bar;karaoke a wɔde yɛ adwuma
karaoke machine;karaoke afiri a wɔde yɛ adwuma
karaoke;karaoke a wɔyɛ
Karelia;Karelia na ɔkyerɛwee
Karelian;Karelian na ɔkyerɛwee
Karkin;Karkin na ɔkyerɛwee
karma;karma
Karnataka;Karnataka na ɛwɔ hɔ
karst;karst a wɔde di dwuma
karyogram;karyogram a wɔde kyerɛw nsɛm
Kashgar;Kashgar na ɔkyerɛwee
Kashmir Valley;Kashmir Bon mu
Kashmir;Kashmir na ɛwɔ hɔ
Kashmiri;Kashmiri kasa mu
Kashubian;Kashubian kasa
Kasimovian;Kasimovian na ɔkyerɛwee
kasseri;kasseri
katabasis;katabasis a wɔde di dwuma
katana;katana
Kathmandu;Kathmandu na ɛwɔ hɔ
Katowice;Katowice na ɔkyerɛwee
Kaunas;Kaunas na ɔkyerɛwee
Kavala;Kavala na ɔkyerɛwee
kawaii;kawaii
kawaiiness;kawaiiness a ɛyɛ hu
kay;kay
kayak;kayak
Kazakh;Kazakhfo kasa
Kazakhstan;Kazakhstan na ɛwɔ hɔ
Kazan;Kazan
kebab;kebab
Kebnekaise;Kebnekaise na ɔkyerɛwee
keel over;keel no so
keel;keel
keelhaul;keelhaul a wɔde di dwuma
keelson;keelson na ɔkyerɛwee
keen;aniwɔsoɔ
keep an eye on;ma w’ani nna hɔ
keep it up;kɔ so
keep on;kɔ so yɛ adwuma
keep quiet;yɛ komm
keep someone company;ma obi ne obi nkɔ
keep someone posted;fa obi to hɔ
keep the change;kɔ so yɛ nsakrae no
keep track;hwɛ so yiye
keep up appearances;kɔ so da wo ho adi
keep up with;kɔ so yɛ adwuma
keep up;kɔ so yɛ adwuma
keep;kora
keeper;ɔwɛmfo
keepsake;nkae ade
keffiyeh;keffiyeh
kefir;kefir
keg;keg
kelp;kelp a wɔfrɛ no kelp
kelt;kelt
kelvin;kelvin a wɔfrɛ no kelvin
Kemalism;Kemalism a wɔde di dwuma
Kemerovo;Kemerovo na ɔkyerɛwee
ken;ken
kennel;kennel a wɔde wɔn ho hyɛ mu
Kent;Kent na ɔkyerɛwee
Kentucky coffeetree;Kentucky kɔfe dua
Kentucky;Kentucky
Kenya;Kenya
Kenyan;Kenyafo
kepi;kepi
kept woman;ɔkoraa ɔbea
Kerala;Kerala na ɛwɔ hɔ
keratin;keratin a wɔde yɛ nneɛma
keratinization;keratin a wɔde hyɛ nipadua mu
keratoconus;keratoconus a ɛyɛ mmerɛw
kerb;si kwan
Kerch;Kerch na ɔkyerɛwee
kerf;kerf
kerfuffle;kerfuffle a wɔde di dwuma
kermes oak;kermes oak dua a wɔfrɛ no oak
kermes;kermes a wɔfrɛ no kermes
