la gomera na ɔkyerɛwee;La Gomera
la laguna na ɛwɔ hɔ;La Laguna
la mancha na ɛwɔ hɔ;La Mancha
la paz na ɔkyerɛwee;La Paz
la pérouse asubɔnten no;La Pérouse Strait
la rioja na ɛwɔ hɔ;La Rioja
laabri;library
laban;Laban
labellum a wɔde ahyɛ mu;labellum
labia;labia
labia majora a ɛyɛ mmerɛw;labia majora
labia nketewa;labia minora
labialization a wɔde hyɛ nipadua mu;labialization
labile;labile
labiodental a ɛwɔ ntini mu;labiodental
labium a wɔfrɛ no labium;labium
labrador na ɔkyerɛwee;Labrador
labyrinth a ɛyɛ nwonwa;labyrinth
labyrinthine a ɛyɛ nwonwa;labyrinthine
labyrinthitis a ɛma obi ho yɛ hyew;labyrinthitis
lac;lac
lace a wɔde ayɛ;lace
laceration a ɛyɛ mmerɛw;laceration
lacerta na ɔkyerɛwee;Lacerta
lachanophobia a ɛyɛ hu;lachanophobia
laches na ɛyɛ;laches
lachrymose a ɛyɛ mmerɛw;lachrymose
lackadaisical a ɛnyɛ nokware;lackadaisical
lackey no;lackey
laconic a ɛyɛ laconic;laconic
laconism a wɔde di dwuma;laconism
lacquer a wɔde yɛ nneɛma;lacquer
lacrimal a ɛyɛ hu;lacrimal
lacrosse a wɔde di dwuma;lacrosse
lactase a wɔfrɛ no lactase;lactase
lactic a ɛyɛ lactic;lactic
lactic acid a wɔde yɛ aduru;lactic acid
lactometer a wɔde susuw nneɛma ho;lactometer
lactone a wɔde yɛ adwuma;lactone
lactose a wontumi nnyina ano;lactose intolerance
lactose a wɔde yɛ adwuma;lactose
lacuna a ɛyɛ mmerɛw;lacuna
lad;lad
ladies di kan;ladies first
ladinian kasa;Ladinian
ladino na ɔkyerɛwee;Ladino
ladislaus na ɔkyerɛwee;Ladislaus
ladle a wɔde yɛ adwuma;ladle
lady no nipa;lady's man
lady-in-waiting a ɔretwɛn;lady-in-waiting
ladybird a ɔyɛ ɔkraman;ladybird
ladyship a ɔyɛ;ladyship
laertes na ɔkyerɛwee;Laertes
lag;lag
lagerpetid a wɔfrɛ no lagerpetid;lagerpetid
lagniappe a wɔde yɛ adwuma;lagniappe
lagoon a ɛwɔ hɔ;lagoon
lagrange asɛm no;Lagrange point
lahar;lahar
laicize (laicize) a;laicize
laid-back a wɔde wɔn ho hyɛ mu;laid-back
lain;lain
lair;lair
lakotafo a wɔyɛ saa;Lakota
laksa;laksa
lama;lama
lamanfo;Lamanite
lamasom;lamaism
lambda a wɔde ma;lambda
lambdacism a wɔde di dwuma;lambdacism
lamella;lamella
lamia;lamia
laminar a wɔde di dwuma;laminar
laminate a wɔde ayɛ fam;laminate flooring
laminate a wɔde yɛ adwuma;laminate
lamination a wɔde yɛ adwuma;lamination
lammergeier na ɛyɛ adwuma;lammergeier
lampas;lampas
lampoon a wɔde di dwuma;lampoon
lamprey a wɔfrɛ no lamprey;lamprey
lance;lance
lancet a wɔfrɛ no lancet;lancet
lancetfish a wɔfrɛ no lancetfish;lancetfish
lane no;lane
langhian na ɔkyerɛwee;Langhian
languid, a ɛyɛ mmerɛw;languid
languish a ɛyɛ mmerɛw;languish
languor a ɛyɛ mmerɛw;languor
languorous a ɛyɛ mmerɛw;languorous
lank;lank
lanky;lanky
lanolin a wɔde yɛ adwuma;lanolin
lansquenet;lansquenet
lanthanum a wɔfrɛ no lanthanum;lanthanum
lao;Lao
laocoön kasa mu;Laocoön
laos;Laos
laos ahemman no;Kingdom of Laos
laos kasa;Laotian
laozi na ɔkyerɛwee;Laozi
lap kraman;lap dog
laparoscopic a wɔde hwɛ nipadua no mu;laparoscopic
laparoscopy a wɔde hwɛ nipadua no;laparoscopy
laparotomy a wɔde yɛ adwuma;laparotomy
lapel a wɔde hyɛ mu;lapel
lapidation a ɛyɛ mmerɛw;lapidation
lapis lazuli a wɔfrɛ no lazuli;lapis lazuli
laplace adwumayɛfo;Laplace operator
lapland na ɛwɔ hɔ;Lapland
lapse a ɛbae;lapse
lapsus linguae a wɔde di dwuma;lapsus linguae
laptop a wɔde di dwuma;laptop
lapwing a wɔde akata so;masked lapwing
lapwing a wɔde yɛ adwuma;lapwing
larch a wɔfrɛ no larch;larch
larder a wɔde nneɛma gu mu;larder
lark a wɔfrɛ no lark;lark
larkspur a wɔfrɛ no larkspur;larkspur
larnaca na ɔkyerɛwee;Larnaca
larva a wɔfrɛ no larva;larva
larval a ɛyɛ mmerɛw;larval
laryngeal a ɛwɔ ahurututu mu;laryngeal
laryngological a ɛyɛ mmerɛw;laryngological
laryngologist ho ɔbenfo;laryngologist
laryngology ho aduruyɛ;laryngology
larynx a ɛyɛ mmerɛw;larynx
lasagna a wɔde di dwuma;lasagna
lasaro;Lazarus
laser a wɔde di dwuma;laser
laser afiri a wɔde tintim nhoma;laser printer
laser hann a ɛyɛ hyew;laser beam
lash;lash
lash out a ɛyɛ hu;lash out
lass;lass
lasso;lasso
latch a wɔde hyɛ mu;latch
latchkey abofra;latchkey kid
lateen na ɛyɛ;lateen
latex a wɔde yɛ nneɛma;latex
lath;lath
lathe a wɔde yɛ adwuma;lathe
lather a ɛyɛ fĩ;lather
latin amerika;Latin America
latin amerikafo;Latin American
latin kasa;Latin
latin kasa;Latinity
latin kasa a wɔde di dwuma;Latinization
latin kasa a wɔde di dwuma wɔ tete mmere mu;Classical Latin
latin kasa a ɛbae akyiri yi;Late Latin
latin kasa a ɛyɛ kasafĩ;Vulgar Latin
latin nkyerɛwde nkyerɛwde;Latin alphabet
latino-faliscanfo a wɔka wɔn ho asɛm;Latino-Faliscan
latinofo a wɔyɛ saa;Latino
latissimus a ɛwɔ akyi;latissimus dorsi
latitude a ɛyɛ fɛ;latitude
latitudinarian a ɛyɛ fɛ;latitudinarian
latitudinarianism a wɔde di dwuma;latitudinarianism
latium a wɔde yɛ adwuma;Latium
latte;latte
lattice a wɔde yɛ adwuma;lattice
latvia;Latvia
latvia kasa;Latvian
latvia ɔmanpanyin;Republic of Latvia
latviafo ssr;Latvian SSR
laud;laud
laudanum a ɛyɛ fɛ;laudanum
laura na ɔkyerɛwee;Laura
laureate;laureate
laurel a ɛyɛ fɛ;laurel
laurence na ɔkyerɛwee;Laurence
lausanne na ɔkyerɛwee;Lausanne
lav;lav
lava;lava
lava dome;lava dome
lavash a wɔde hyɛ mu;lavash
lavender a wɔde yɛ nneɛma;lavender
lavender a wɔtaa de di dwuma;common lavender
lavish a ɛyɛ fɛ;lavish
lawrencium a wɔfrɛ no lawrencium;lawrencium
lax;lax
lay-by a wɔde di dwuma;lay-by
layabout na ɛyɛ;layabout
layman;layman
layover;layover
layperson;layperson
lazio na ɛwɔ hɔ;Lazio
lcd a wɔde di dwuma;LCD
lea;Leah
leach a wɔde hyɛ mu;leach
lead guitar;lead guitar
leaden;leaden
league no mu;league
leander a ɔyɛ ɔbaabun;Leander
leap da a ɛyɛ hu;leap day
leash a wɔde hyɛ mu;leash
lebanon na ɛwɔ hɔ;Lebanon
lebanonfo kasa;Lebanese
lecco na ɔkyerɛwee;Lecco
lecherous a ɔyɛ ɔkwasea;lecherous
lechery a wɔde di dwuma;lechery
ledge a ɛwɔ hɔ;ledge
ledger a wɔde kyerɛw nsɛm;ledger
ledger nkyerɛwde a wɔde kyerɛw nsɛm;ledger line
leech a wɔfrɛ no leech;leech
leek;leek
leery a ɛyɛ hu;leery
lees a ɛwɔ hɔ;lees
leeward a ɛyɛ hu;leeward
leeway a wɔde ma;leeway
lefkosia na ɛwɔ hɔ;Lefkosia
leganés na ɔkyerɛwee;Leganés
legato;legato
legerdemain a wɔde kyerɛw nsɛm;legerdemain
legion a ɛwɔ hɔ;legion
legionary a wɔde wɔn ho hyɛ mu;legionary
lego a ɛwɔ hɔ;Lego
leiden na ɔkyerɛwee;Leiden
leishmaniasis a ɛma obi nya ɔyare;leishmaniasis
leitmotif a ɛwɔ hɔ;leitmotif
lemma;lemma
lemmatize a wɔde yɛ adwuma;lemmatize
lemming;lemming
lemniscatic a wɔde di dwuma;lemniscatic
lemon;lemon
lemon a wɔde yɛ aduru;lemon curd
lemon aduru a wɔde yɛ aduru;lemon balm
lemon nsuo a wɔde yɛ;lemon juice
lemon verbena a wɔde di dwuma;lemon verbena
lemonade a wɔde yɛ nneɛma;lemonade
lemongrass a wɔde yɛ aduan;lemongrass
lemur a wɔfrɛ no lemur;lemur
lenga;lenga
lenient;lenient
leninfo a ɔyɛ ɔdefo;Leninist
leningrad na ɔkyerɛwee;Leningrad
leninsom a wɔde di dwuma;Leninism
lenition a ɛyɛ den;lenition
lens a wɔde hwɛ ade;lens
lent;Lent
lent kɛse;Great Lent
lenticular a ɛyɛ fɛ;lenticular
lentil a wɔde yɛ nneɛma;lentil
leo;Leo
leonard na ɔkyerɛwee;Leonard
leonardeschi na ɔkyerɛwee;Leonardeschi
leonese kasa;Leonese
leonine a wɔde di dwuma;leonine
leopold na ɔkyerɛwee;Leopold
leotard a wɔfrɛ no leotard;leotard
lepenism a wɔde di dwuma;LePenism
leprechaun a wɔde di dwuma;leprechaun
lepton a wɔfrɛ no lepton;lepton
lepus a wɔfrɛ no lepus;Lepus
lesbos na wɔyɛ;Lesbos
lese anuonyam;lese majesty
lesene;lesene
lesothofoɔ;Lesotho
let-down;let-down
lethe na ɔkyerɛwee;Lethe
letitia na ɔkyerɛwee;Letitia
leto na ɔkyerɛwee;Leto
letzeburgesh na ɔkyerɛwee;Letzeburgesh
leucine a wɔfrɛ no leucine;leucine
leucite a wɔfrɛ no leucite;leucite
leucoma a ɛma mogya tu;leucoma
leukocyte a ɛma mogya tu;leukocyte
lev;lev
levee a ɛwɔ hɔ;levee
level crossing a wɔde twa kwan;level crossing
level up no kɔ soro;level up
level-headed a ɛyɛ nea ɛwɔ soro;level-headed
leveler a wɔde yɛ adwuma;leveler
lever a wɔde yɛ adwuma;lever
leveret a wɔde di dwuma;leveret
levi;Levi
leviathan, a wɔfrɛ no leviathan;leviathan
levitate a wɔde hyɛ mu;levitate
leviticus nhoma mu;Leviticus
levocetirizine a wɔde di dwuma;levocetirizine
levulinate a wɔde hyɛ nipadua mu;levulinate
lexeme a wɔde di dwuma;lexeme
leyden toa a wɔde hyɛ mu;Leyden jar
león na ɔkyerɛwee;León
lgbt;LGBT
lhasa na ɛyɛ;Lhasa
libation a wɔde ma;libation
liberia na ɛwɔ hɔ;Liberia
liberiafo de;Liberian
liberty supɔw so;Liberty Island
libra a ɛwɔ nipadua no mu;Libra
libretto a wɔde kyerɛw nsɛm;libretto
libreville na ɛwɔ hɔ;Libreville
libtard na ɛyɛ adwuma;libtard
libya;Libya
libyafo;Libyan
licentiousness a wɔde di dwuma;licentiousness
lich;lich
lichen a wɔfrɛ no lichen;lichen
lichenification a wɔde yɛ nneɛma;lichenification
lichenology ho adesua;lichenology
licit;licit
lick ne bɔhyɛ bi;lick and a promise
licorice a wɔfrɛ no licorice;licorice
lictor;lictor
lid;lid
lidia;Lydia
lidocaine a wɔde yɛ nnuru;lidocaine
liechtenstein na ɔkyerɛwee;Liechtenstein
liechtensteiner na ɔkyerɛwee;Liechtensteiner
liege na ɛyɛ;liege
lien a wɔde ahyɛ obi nsa;lien
lienholder a ɔde ne ho ahyɛ mu;lienholder
liftoff a wɔde ma;liftoff
ligament a ɛwɔ nipadua no mu;ligament
ligand a wɔde yɛ adwuma;ligand
ligase a ɛyɛ den;ligase
ligate;ligate
ligature a wɔde hyɛ nipadua mu;ligature
liger;liger
lignin a ɛyɛ lignin;lignin
lignite a wɔde di dwuma;lignite
liguria na ɛwɔ hɔ;Liguria
ligurian kasa mu kasa;Ligurian
likia;Lycia
lilac a wɔfrɛ no lilac;lilac
lilian na ɔkyerɛwee;Lilian
lilongwe na ɔkyerɛwee;Lilongwe
lily;lily
lima bankye;lima bean
lima na ɛwɔ hɔ;Lima
limassol na ɔkyerɛwee;Limassol
limaçon a wɔde di dwuma;limaçon
limb;limb
limbate a ɛyɛ den;limbate
limbic nhyehyɛe;limbic system
limburg na ɔkyerɛwee;Limburg
limburgfo kasa;Limburgish
lime a wɔde ayɛ atɛkyɛ;lime mortar
lime a wɔde yɛ adwuma;lime
limelight a wɔde wɔn ho hyɛ mu;limelight
limerence a wɔde di dwuma;limerence
limerick a wɔde yɛ adwuma;limerick
limestone a wɔfrɛ no limestone;limestone
liminal a ɛyɛ den;liminal
limnology ho adesua;limnology
limonite a wɔde yɛ adwuma;limonite
limousine a wɔde di dwuma;limousine
limp;limp
limpet a wɔfrɛ no limpet;limpet
limpid a ɛyɛ mmerɛw;limpid
limpkin a ɛyɛ mmerɛw;limpkin
linaloo a wɔde yɛ adwuma;linalool
lincolnshire akutu a wɔfrɛ no spinach;Lincolnshire spinach
linden a wɔde yɛ adwuma;linden
lindgrenite a wɔde yɛ nneɛma;lindgrenite
line fã bi;line segment
line of credit a wɔde ma;line of credit
line tenten;long line
linear a wɔaka abom;linear combination
linear a ɛyɛ linear;linear
linear adwene a wɔde hwɛ ade;linear perspective
linear algebra a ɛyɛ nkyerɛwde;linear algebra
linearly ahofadi;linearly independent
lined anthrike a wɔde wɔn ho ahyɛ mu;lined antshrike
liner a wɔde hyɛ mu;liner
ling;ling
linger kyɛ;linger
lingonberry a wɔfrɛ no lingonberry;lingonberry
linguica a wɔde di dwuma;linguica
linguine a wɔde di dwuma;linguine
liniment a wɔde hyɛ nipadua mu;liniment
lining a wɔde ahyɛ mu;lining
link;link
link a ɛyerae;missing link
linnet a wɔde yɛ ntama;linnet
linoleate a wɔde yɛ adwuma;linoleate
linoleic acid a wɔde yɛ aduru;linoleic acid
linoleum a wɔfrɛ no linoleum;linoleum
linseed a wɔde yɛ linseed;linseed
lint;lint
lintel a wɔde ahyɛ mu;lintel
lipase a wɔfrɛ no lipase;lipase
lipetsk na ɔkyerɛwee;Lipetsk
lipid a ɛyɛ srade;lipid
lipidic a ɛyɛ srade;lipidic
lipoprotein a ɛwɔ nipadua mu;lipoprotein
liposoluble a ɛtumi nwura mu;liposoluble
liquidizer a wɔde yɛ adwuma;liquidizer
lira;lira
lis pendens a ɛyɛ den;lis pendens
lisbon na ɛwɔ hɔ;Lisbon
lisboner na ɔkyerɛwee;Lisboner
lisinopril a wɔde di dwuma;lisinopril
lisp;lisp
listel;listel
listless;listless
listserver a wɔde kyerɛw nsɛm;listserver
lit;lit
lita;litre
litany ho nsɛm;litany
litharge a wɔde di dwuma;litharge
lithic a wɔde ayɛ;lithic
lithium a wɔde yɛ adwuma;lithium
lithium batere a wɔde yɛ adwuma;lithium battery
lithium hydride a wɔde yɛ adwuma;lithium hydride
lithium oxide a wɔde yɛ adwuma;lithium oxide
lithosphere a ɛyɛ aboɔden abo;lithosphere
lithuania kasa;Lithuanian
lithuania kasa mu ssr;Lithuanian SSR
