N'Djamena;N'Djamena na ɔkyerɛwee
n-a;na
Naberezhnye Chelny;Naberezhnye Chelny na ɔkyerɛwee
nadir;nadir
NAFTA;NAFTA na ɛyɛ adwuma
nag;nag
nagger;nagger
nagging;nagging
naggy;naggy
Nagorno-Karabakh;Nagorno-Karabakh na ɛwɔ hɔ
Nagykanizsa;Nagykanizsa na ɔkyerɛwee
Nahuatl;Nahuatl kasa mu
Nahum;Nahum
naiad;naiad naiad
naif;naif
nail clipper;nnadewa a wɔde twitwa nnadewa
nail file;nnadewa fael
nail gun;nnadewa tuo
nail house;nnadewa dan
nail polish remover;aduru a wɔde yi nnadewa a wɔde yɛ nnadewa
nail polish;nnadewa a wɔde yɛ nnadewa
nail;dadewa
Nairobi;Nairobi na ɛwɔ hɔ
Naissaar;Naissaar na ɔkyerɛwee
naive;nnim hwee
Nakba;Nakba
naked singularity;adagyaw biakoyɛ
naked;adagyaw
nakedness;adagyaw a wɔda
Nakhichevan;Nakhichevan na ɔkyerɛwee
Nakhodka;Nakhodka na ɔkyerɛwee
Nalchik;Nalchik na ɔkyerɛwee
namaste;namaste
namby-pamby;namby-pamby
name brand;din ahyɛnsode
name day;din da
name-calling;din-frɛ
name;din
namefellow;din yɔnko
nameless;a wonni din
namely;a ɛne sɛ
namesake;din a wɔde too so
Namibia;Namibia na ɛwɔ hɔ
Namibian;Namibiafo kasa
naming rights;hokwan ahorow a wɔde to din
Nan Mountains;Nan Mmepɔw so
nancy;nancy na ɔkyerɛwee
Nanning;Nanning na ɔkyerɛwee
nanny;nanny nanny
nano-;nano- .
nanofarad;nanofarad a wɔfrɛ no nanofarad
nanomachine;nanomachine a wɔde yɛ adwuma
nanometre;nanometer a wɔde di dwuma
nanori;nanori
nanorobotics;nanorobotics a wɔde yɛ nnuru
nanosecond;nanosecond a ɛyɛ den
nanotechnology;nano mfiridwuma ho nimdeɛ
nanotool;nanotool a wɔde yɛ adwuma
nanowire;nanowire a wɔde yɛ adwuma
Naomi;Naomi
nap;nna a wɔde da
napa cabbage;napa kabege a wɔde yɛ
napalm;napalm a wɔfrɛ no napalm
nape;nape
Naphtali;Naftali
naphthalene;naphthalene a wɔde yɛ adwuma
naphthyl;naphthyl a wɔde yɛ aduru
Napier's bones;Napier nnompe no
napkin ring;napkin ring a wɔde twitwiw nneɛma
napkin;ntama a wɔde kyekyere nneɛma ho
Naples yellow;Naples yɛ kɔkɔɔ
Naples;Naples na ɛwɔ hɔ
Napoleon;Napoleon na ɔkyerɛwee
nappe;nappe
narcissism;narcissism a wɔde wɔn ho hyɛ mu
narcissist;narcissist a ɔyɛ ɔhotefo
narcissistic;obi a ɔpɛ ne ho asɛm
narcissus;narcissus a ɔyɛ ɔbarima
narcolepsy;narcolepsy a wɔde wɔn ho hyɛ mu
narcoterrorism;narcoterrorism a wɔde di dwuma
narcotherapy;nnubɔne a wɔde sa yare
narcotic;nnubɔne a wɔde di dwuma
Narnia;Narnia na ɔkyerɛwee
narrate;ka ho asɛm
narration;asɛm a wɔka kyerɛ
narrative;asɛnka
narrator;ɔkyerɛwfo
narrow-minded;adwene a ɛyɛ teateaa
narrow-mindedness;adwene a ɛyɛ teateaa
narrow;teaa
narrowness;teateaa a ɛyɛ teateaa
narthex;narthex a wɔfrɛ no narthex
Narva;Narva, na ɔkyerɛwee
narwhal;narwhal a ɛyɛ narwhal
nary;nary
Naryan-Mar;Naryan-Mar., na ɔde ne nsa kyerɛɛ ne so
nasal cavity;hwene mu ntini
nasal polyp;hwene mu aduru a wɔfrɛ no polyp
nasal septum;nasal septum a ɛwɔ hwene mu
nasal;nasal
nasality;nasality a ɛyɛ anom
nasalization;nasalization a wɔde hyɛ anom
nasalness;anom a ɛyɛ mmerɛw
nascent;nascent a ɛrefi ase
Nash equilibrium;Nash kari pɛ
Nassau;Nassau na ɔkyerɛwee
Nasserism;Nasserism a wɔde di dwuma
nasturtium;nasturtium a wɔfrɛ no nasturtium
nasty;nyɛ koraa
Natalie;Natalie na ɔyɛ
Nataraja;Nataraja na ɔkyerɛwee
natch;natch natch
Nathan;Natan
nation-state;ɔman-man
nation;ɔman
national anthem;ɔman dwom
national bourgeoisie;ɔman no mu bourgeoisie
national day;ɔman da
national debt;ɔman no ka
national emblem;ɔman agyiraehyɛde
national park;ɔman no mmɔnten so atrae
national security;ɔman no ahobammɔ
National Socialism;Ɔman Sohyialism
national sports team;ɔman no agumadi kuw
national treasure;ɔman ademude
national;ɔman
nationalism;ɔmampɛ
nationalist;ɔmampɛfo
nationality;ɔman a wofiri mu
nationally;ɔman no mu nyinaa
native speaker;obi a ɔka ɔman no kasa
native;mani
nativity scene;awo ho mfonini
nativity;awo ho asɛm
NATO;NATO
natrolite;natrolite a wɔde yɛ adwuma
natto;natto
natural child;abɔde mu abofra
natural disaster;abɔde mu asiane
natural economy;abɔde mu sikasɛm
natural gas;abɔde mu mframa
natural language;abɔde mu kasa
natural logarithm;abɔde mu logarithm
natural number;abɔde mu dodow
natural person;honam fam nipa
natural resource;abɔde mu nneɛma
natural science;abɔde ho nyansahu
natural scientist;abɔde ho nyansahufo
