o'clock;dɔnhwerew
o;o
oaf;oaf
oak;oak a wɔfrɛ no oak
oakum;oakum
oakwood;oakwood a wɔfrɛ no oakwood
oar;oar
OAS;OAS
oasis;oasis a wɔde di dwuma
oat milk;oat nufusu
oat;oat
oath;ntam
oatmeal;oatmeal a wɔde yɛ aduan
oats;oats a wɔde yɛ aduan
Oaxaca;Oaxaca na ɛwɔ hɔ
Ob;Ob
Obadiah;Obadia
Obama;Obama
Obed;Obed na ɔkyerɛwee
obedience;osetie a wɔyɛ
obedient;osetiefo
obelisk;obelisk a wɔde di dwuma
Oberon;Oberon na ɔkyerɛwee
obese;kɛseyɛ mmoroso
obesity;obolo
obesogenic;ade a ɛma obi yɛ kɛse mmoroso
obey;yɛ setie
obfuscate;a ɛyɛ adwenem naayɛ
obiter dictum;obiter dictum a ɛkyerɛ sɛnea obi te
obituary;obituary ho krataa
object;adeɛ
objection;ɔsɔretia a wɔkasa tia
objective;botaeɛ
objectively;wɔ botae mu
objectivity;botae a wɔde si biribi so
oblast;oblast
oblation;afɔrebɔde a wɔde ma
obligation;asɛdeɛ
obligatory;ɛyɛ ahyɛde
oblige;asɛyɛde
obliging;asɛyɛde
oblique case;oblique asɛm a ɛyɛ oblique
oblique;oblique a ɛyɛ oblique
obliterate;obliterate a wobɛpopa afi hɔ
obliteration;obliteration a wɔsɛe no
oblivion;werɛ a wofi
oblivious;a wɔn ani nnye ho
oblong;oblong a ɛyɛ tenten
obloquy;obloquy a wɔde di dwuma
obnoxious;a ɛyɛ abofono
oboe d'amore;oboe d'amore a wɔde di dwuma
oboe;oboe
oboist;oboist a wɔde di dwuma
obolus;obolus
obscene;akyiwadeɛ
obscenely;wɔ ɔkwan a ɛyɛ abofono so
obscenity;ahohwibra
obscurantism;nsɛm a ɛyɛ sum kabii
obscure;asuma
obscurity;a ɛyɛ sum kabii
obsequious;obsequious a ɛyɛ hu
observable;a wotumi hu
observation;ahwɛeɛ
observatory;beae a wɔhwɛ nneɛma so
observe;hwɛ
observer;ɔhwɛfo
obsessed;pɛ dennen
obsession;deɛ w'ani ku ho boro so
obsessive;adwenemhaw a ɛma obi yɛ ade tra so
obsidian;obsidian a wɔde di dwuma
obsolescence;nea ne bere atwam
obsolescent;nea ne bere atwam
obsolete;atwam
obstacle;akwansideɛ
obstetric;awo ho nhwehwɛmu
obstetrician;awo ho ɔyaresafo
obstetrics;awo ho adesua
obstinacy;atirimɔdensɛm
obstinate;atirimɔdenfo
obstinately;wɔ atirimɔden so
obstreperosity;obstreperosity a ɛma obi ho kyere no
obstreperous;obstreperous a ɛyɛ den
obstruct;siw kwan
obtain;nya
obtainable;a wobetumi anya
obtuse angle;obtuse angle a ɛyɛ mmerɛw
obtuse triangle;ahinanan a ɛyɛ mmerɛw
obtuse;obtuse a ɛyɛ mmerɛw
obverse;anim a ɛwɔ anim
obviate;twe wo ho fi ho
obvious;pefee
obviously;pefee
obviousness;nea ɛda adi pefee
ocarina;ocarina na ɔkyerɛwee
Occam's razor;Occam a ɔde ahama no
occasion;adeyɛ
occasional;ɛtɔ mmere bi a
occasionally;berɛ ano
occidental;atɔe fam de
occipital lobe;occipital lobe a ɛwɔ akyi
occipital;occipital a ɛwɔ akyi
occipitalis;occipitalis a ɛwɔ akyi
occipitofrontal;occipitofrontal a ɛwɔ akyi
occipitofrontalis;occipitofrontalis a ɛwɔ akyi
occiput;occiput a ɛwɔ akyi
Occitan;Occitanfo kasa
Occitania;Occitania a ɛwɔ nipadua no mu
occluded front;occluded anim
occult;asumansɛm
occultation;ahonhonsɛmdi
occultism;asumansɛm
occultist;asumansɛm ho nimdefo
occupation;adwuma
occupational disease;adwuma mu yare
occupational hazard;adwuma mu asiane
occupied;agye hɔ
occupy;gye
occur;si gyinaeɛ
occurrence;asɛm a esisi
ocean;pobunu
Oceania;Oceania na ɛwɔ hɔ
Oceanian;Oceanianfo de
oceanic;po mu nneɛma
oceanographer;po ho ɔbenfo
oceanographic;po so nhwehwɛmu
oceanography;po ho adesua
oceanologist;po ho ɔbenfo
ocellus;ocellus a wɔfrɛ no ocellus
ocelot;ocelot
ochlocracy;ochlocracy a wɔde di dwuma
ochre;ochre
octagon;octagon a ɛyɛ ahinanan
octagonal;ahinanan a ɛwɔ afã awotwe
octahedral;a ɛwɔ afã awotwe
octahedron;octahedron a ɛwɔ hɔ
octalogy;octology a wɔde kyerɛw nsɛm
octane number;octane nɔma
octane;octane a ɛyɛ octane
Octans;Octansfo na wɔkyerɛwee
octave;octave a ɛyɛ octave
octet;octet
octile;octile a ɛyɛ mmerɛw
octillion;octillion na ɛyɛ adwuma
October;Ahinime
octogenarian;mfe aduɔwɔtwe
octopus;octopus a wɔfrɛ no octopus
octosyllabic;nnyigyei nkyerɛwde awotwe
ocular;aniwa so
ocularly;aniwa mu
odalisque;odalisque a wɔde di dwuma
odd number;akontaahyɛde a ɛyɛ nwonwa
odd;soronko
oddity;oddity a ɛyɛ nwonwa
odds and ends;odds ne awiei ahorow
odds;soronko
ode;ode
Oder;Oder na ɔkyerɛwee
Odessa;Odessa na ɔkyerɛwee
Odin;Odin na ɔkyerɛwee
odious;akyide a ɛyɛ abofono
Odisha;Odisha na ɛwɔ hɔ
odometer;odometer a wɔde kyerɛ kwan
odontalgic;odontalgic a wɔde di dwuma
odontology;anom ho aduruyɛ
odorous;ɛyɛ huam
odour;hua
Odysseus;Odysseus na ɔkyerɛwee
Odyssey;Odyssey a wɔde di dwuma
Oedipal;Oedipal na ɔkyerɛwee
Oedipus complex;Oedipus a ɛyɛ den
Oedipus;Oedipus na ɔkyerɛwee
oeillade;oeillade a wɔde yɛ adwuma
oenologist;oenologist ho ɔbenfo
oenophile;oenophile a ɔyɛ ɔbarima
oesophageal;oesophageal a ɛwɔ nipadua no mu
oesophagus;esophagus a ɛwɔ aduan mu
oestrus;oestrus a wɔfrɛ no oestrus
oeuvre;oeuvre a wɔde yɛ adwuma
of age;mfe a wɔadi
of course;ampa ara
of late;nnansa yi
of one mind;adwene biako mu
of one's choice;nea obi paw ho
of;firi
off chance;off chance
off course;ɛnyɛ nokware
off-roader;off-roader a wɔde di dwuma
off-the-shelf;off-the-shelf a wɔde di dwuma
off-topic;asɛmti a ɛnyɛ asɛmti
off-white;off-white a ɛyɛ fitaa
off;adum
offal;offal
offend;abufuw
offender;ɔdebɔneyɛfo
offensive;ntɔkwapɛ
offer;ɔma
offering;afɔrebɔde
offhand;offhand
office building;adwumayɛbea dan
office hours;adwumayɛbea bere a wɔde yɛ adwuma
office worker;ɔfese adwumayɛfo
office;ɔfese
officeholder;ɔfese wura
officer;ɔsraani panyin
official cover;aban mpanyimfo anim
official;ɔfesa
officially;wɔ aban kwan so
officiate;ɔyɛ adwuma no
officious;official
offline;offline so
offload;offload
offset;offset a wɔde hyɛ mu
offshoot;nkorabata
offshore;wɔ mpoano
offspring;asefo
often;mpɛn pii
oftentimes;mpɛn pii no
Ogaden;Ogaden na ɔkyerɛwee
oganesson;oganesson na ɔkyerɛwee
ogonek;ogonek
ogre;ogre
ogress;ogress a ɔyɛ ɔbarima
oh my God;oh me Nyankopɔn
oh my Goddess;oh me Nyamewa
oh no;oh dabi
oh;Ow
OHIM;OHIM na ɛwɔ hɔ
Ohio;Ohio
Ohm's law;Ohm mmara no
ohm;ohm
oidium;oidium a wɔde yɛ oidium
