p.;kr.
p.m.;pm
pa;pa
paca;paca
pace;mmirika
pacemaker;afiri a ɛma obi koma bɔ kɛse
pachyderm;pachyderm a wɔfrɛ no pachyderm
Pacific Northwest;Pacific Atifi fam Atɔe
Pacific Ocean;Pasifik Po no
pacific;asomdwoe mu
pacification;asomdwoe a wɔde bɛma
pacifier;pacifier a wɔde ma
pacifism;asomdwoe ho adwene
pacifist;asomdwoe ho ɔbenfo
pacify;ma asomdwoe
pack ice;pack nsukyenee
pack;hyehyɛ
package;boadeɛ
packed;a wɔahyɛ no ma
packer;packer a ɔde nneɛma gu mu
packet switching;packet a wɔsakra no
packet;packet no mu
packing plant;adwumayɛbea a wɔde nneɛma gu mu
pact;apam no
pad;pad
paddle wheel;paddle ntwahonan
paddle;paddle a wɔde tu mmirika
paddlefish;paddlefish a wɔfrɛ no paddlefish
paddock;paddock a wɔde yɛ mmoa
paddy;aburow a wɔde yɛ afuw
padel;padel
pademelon;pademelon a wɔfrɛ no pademelon
padlock;padlock a wɔde hyɛ mu
Padua;Padua na ɛwɔ hɔ
paella;paella a wɔde di dwuma
pagan;abosonsomfo
paganism;abosonsom
page;kratafa
pageant;akansi a wɔde di dwuma
pageboy;pageboy a ɔyɛ ɔkyerɛwfo
pager;pager
pagoda;pagoda a wɔde di dwuma
PAH;PAH
pain in the ass;ɛyaw a ɛba afunumu mu
pain;yeaw
painful;ɛyɛ yaw
painfully;ɛyaw mu
painkiller;aduru a wɔde kum ɛyaw
painless;ɛyaw biara nni mu
painstaking;a ɛyɛ yaw
paint thinner;paint thinner
paint;ka aduro
paintbrush;brɔs a wɔde yɛ paint
painted;wɔayɛ ho mfonini
painter's tape;mfoniniyɛfo teyp
painter;mfoniniyɛfo
painting by numbers;mfonini a wɔde akontaahyɛde yɛ
painting;aduroka
paintress;mfoniniyɛfo
pair of compasses;kɔmpase abien a wɔde yɛ adwuma
pair;nta
Paiwan;Paiwan na ɔkyerɛwee
pajamas;mpaboa a wɔde da
Pakistan;Pakistan
Pakistani;Pakistanfo kasa
palace;ahemfie
paladin;paladin a wɔde di dwuma
palaeoclimatology;tete wim tebea ho adesua
palanquin;palanquin a wɔde di dwuma
palatable;a ɛyɛ dɛ
palate;anom a ɛyɛ dɛ
Palau;Palau
Palauan;Palaufo kasa
pale in comparison;pale sɛ wɔde toto ho a
pale;hoyaa
Palencia;Palencia na ɔkyerɛwee
paleness;paleness a ɛyɛ mmerɛw
paleoanthropology;tete nnipa ho adesua
paleobotany;paleobotany ho adesua
paleoecology;tete nneɛma a atwa yɛn ho ahyia ho adesua
paleography;paleography a wɔde kyerɛw nneɛma
paleolinguistics;kasa ho nimdeɛ a atwam
Paleolithic;Tete abo a wɔde yɛ nneɛma
paleomagnetism;paleomagnetism a ɛfa nneɛma a atwam ho
paleontological;tetefo nneɛma ho adesua
paleontologist;tetefo nneɛma ho ɔbenfo
paleontology;tetefo nneɛma ho adesua
paleozoology;paleozoology ho adesua
Palestine;Palestina
Palestinian Arabic;Palestina Arabic kasa
Palestinian;Palestinafo
paletot;paletot
palette;palette a wɔde di dwuma
Palikir;Palikir na ɔkyerɛwee
palimpsest;palimpsest a ɛyɛ den
palindrome;palindrome a ɛma obi nya ɔyare
palingenesic;palingenesic a wɔde yɛ aduru
palingenesis;palingenesis a ɛyɛ mmerɛw
palinspastic;palinspastic a wɔde hyɛ nipadua mu
pall;pall
palladium;palladium a wɔfrɛ no palladium
pallet jack;pallet jack a wɔde yɛ adwuma
pallet;pallet a wɔde di dwuma
palliate;palliate a ɛyɛ mmerɛw
palliative care;ayaresa a ɛma obi ho dwo no
palliative;aduru a ɛma obi ho dwo no
pallid;pallid
pallor;pallor (pallor) a ɛyɛ fɛ
palm card;nsateaa krataa
palm oil;nnuadewa mu ngo
palm syrup;palm syrup a wɔde yɛ aduru
palm tree;mmɛdua dua
palm;abɛn
Palma;Palma na ɔkyerɛwee
palmier;palmier a ɔyɛ ɔbarima
palmistry;nsateaa ho nimdeɛ
Palmyra;Palmyra na ɛwɔ hɔ
palomino;palomino
palpable;wotumi de wɔn nsa ka
palpitation;koma a ɛbɔ denneennen
palsy;akisikuru
palustral;palustral a wɔde di dwuma
Pamir;Pamir na ɔkyerɛwee
pamper;pamper
Pamplona;Pamplona na ɔkyerɛwee
Pan-American;Pan-Amerikafo
Pan-Americanism;Pan-Amerikafo Nkyerɛkyerɛmu
pan-Arabism;pan-Arabsom
pan-fry;pan-fry a wɔde yɛ aduan
Pan-Slavism;Pan-Slavsom a wɔde di dwuma
Pan;Pan
panacea;aduru a wɔde sa yare
panache;panache na ɛyɛ
Panama Canal;Panama Asubɔnten no
Panama City;Panama Kuropɔn
Panama hat palm;Panama kyɛw a wɔde yɛ nsateaa
Panama hat;Panama kyɛw
Panama;Panama
Panamanian;Panamafo
Panathenaea;Panathenaea a ɛwɔ hɔ
pancake;pancake a wɔde yɛ nneɛma
Panchatantra;Panchatantra a wɔde kyerɛw nsɛm
Panchen Lama;Panchen Lama na ɔkyerɛwee
panchromatic;panchromatic a ɛwɔ nipadua no mu
pancreas;dwensɔtwaa mu
pancreatic cancer;kokoram a ɛwɔ dwensɔtwaa mu
pancreatic;dwensɔtwaa mu
pancreatitis;dwensɔtwaa mu yare
panda;panda
Pandarus;Pandarus na ɔkyerɛwee
pandeism;pandeism (pandeism) a ɛyɛ hu
pandeist;pandeist a wɔde di dwuma
pandeistic;pandeistic a ɛyɛ hu
pandemic;amansan nsanyareɛ
pander;pander
Pandora's box;Pandora adaka no mu
Pandora;Pandora na ɔkyerɛwee
panegyric;panegyric a wɔde kyerɛw nsɛm
panel;panel
panela;panela
panelist;panelistfo
panettone;panettone a wɔde kyerɛw nsɛm
panforte;panforte a wɔde yɛ adwuma
panga;pana
Pangaea;Pangea na ɛyɛ
Panglossian;Panglossian kasa
pangolin;pangolin a wɔfrɛ no pangolin
pangram;pangram
Panhellenic;Panhellenic asɛm no
panic attack;ehu a ɛba obi so
panic;ehu
panicky;ehu a ɛyɛ hu
pankration;pankration a wɔde di dwuma
pannier;pannier a wɔde yɛ adwuma
panning;panning a wɔde yɛ adwuma
panoply;panoply a wɔde di dwuma
panorama;panorama a ɛyɛ fɛ
panoramic;panoramic a wɔde hwɛ nneɛma nyinaa
panpipes;panpipes a wɔde yɛ nneɛma
panpsychism;panpsychism a ɛma obi nya adwenemhaw
pansexuality;pansexuality
pansy;pansy
pant leg;pant nan
pant;pant
pantheism;pantheism a wɔde di dwuma
pantheist;pantheist
pantheistic;pantheistic a wɔde di dwuma
pantheon;pantheon a ɛwɔ hɔ
panther;panther a wɔfrɛ no panther
panties;panties a wɔde hyɛ mu
pantograph;pantograph a wɔde hwɛ nneɛma so
pantry;pantry a wɔde nneɛma gu mu
pants;pioto
pantyhose;pantyhose a wɔde yɛ adwuma
panvitalism;panvitalism a wɔde di dwuma
Pap smear;Pap a wɔde hyɛ nipadua mu
Pap test;Pap sɔhwɛ
pap;pap
papabile;papabile
papacy;pope dibea
Papal States;Pope Aman
papal;pope de no
paparazzo;paparazzo a wɔde yɛ adwuma
papaya;papaya
paper aeroplane;krataa wimhyɛn
paper clip;krataa a wɔde kyekyere krataa
paper cup;krataa kuruwa
paper cut;krataa a wɔatwa
paper jam;krataa a ɛyɛ jam
paper money;krataa sika
paper towel;krataa mpopaho
paper;krataa
paperback;krataa a wɔde kyerɛw nsɛm
