s.e., s.e;e.g.
sa;cure
sa;dance
sa;exhaust
sa;fetch
sa;heal
sa;sir
sa mu;edit
sa pɛ bra;recover
sa so;parallel
saa;such
saa ara;raw
saa ara;same
saa ara;treat
saa ara na;likewise
saa ara na wo nso;same to you
saa ara na ɛnyɛ saa;so be it
saa ara nso na;similarly
saa asɛm no nti;for that matter
saa bere yi;meantime
saa bere yi de;this time
saa biako no;that one
saa hyɛn no akɔ;that ship has sailed
saa na;apparently
saa na nkwa te;such is life
saa pɛpɛɛpɛ;precisely
saa-ne-te saa;such-and-such
saamifoɔ;Saami
saamɔn;salmon
saarland na ɔkyerɛwee;Saarland
saber;sabre
saber saw a wɔde hwɛɛ ade;sabre saw
sable;sable
sabot na ɛyɛ;sabot
saboteur a ɔsɛe ade;saboteur
saccade a wɔde di dwuma;saccade
saccharification a wɔde ma;saccharification
saccharify ho asɛm;saccharify
saccharin a wɔfrɛ no saccharin;saccharin
saccharine a wɔde yɛ aduru;saccharine
saccharometer a wɔde susuw nneɛma ho;saccharometer
sacramento na ɛwɔ hɔ;Sacramento
sacristan a ɔyɛ ɔkyerɛkyerɛfo;sacristan
sacristy a wɔde di dwuma;sacristy
sacrum (sacrum) a ɛwɔ nipadua no mu;sacrum
saddle;saddle
saddle blanket a wɔde hyɛ mu;saddle blanket
saddle point;saddle point
saddlebag a wɔde hyɛ apɔnkɔ so;saddlebag
saddler;saddler
sadism a wɔde di dwuma;sadism
sadistic a ɔyɛ ɔsadweam;sadistic
sadomasochism a wɔde di dwuma;sadomasochism
saense;science
saenseni;scientist
safari a wɔde yɛ safari;safari
safe tokuru;keyhole
safflower a ɛyɛ fɛ;safflower
safir a wɔde yɛ nneɛma;sapphire
safoa;key
safoa nsaano nkyerɛwee;key signature
safron a wɔde yɛ safrone;saffron
sag;sag
saga;saga
sagacity a ɛyɛ nwonwa;sagacity
sage;sage
sage grouse a ɔyɛ ɔbenfo;sage grouse
sagebrush a wɔde yɛ sagebrush;sagebrush
saggar a ɛyɛ saggar;saggar
sagitta na ɔkyerɛwee;Sagitta
sagittal a ɛyɛ den;sagittal
sagittarius a ɛwɔ nipadua no mu;Sagittarius
sago;sago
sago pudding a wɔde yɛ aduan;sago pudding
saguaro na ɛyɛ;saguaro
sagunto na ɔkyerɛwee;Sagunto
sahara anafo fam;sub-Saharan
sahara atɔe fam;Western Sahara
sahara na ɛwɔ hɔ;Sahara
sahrawi;Sahrawi
saiga;saiga
sainfoin a wɔde di dwuma;sainfoin
saint-denis na ɔkyerɛwee;Saint-Denis
saiva a wɔfrɛ no saiva;Saiva
saka;bunch
saka;bundle
sakaria;Zechariah
saker;saker
sakhalin kasa;Sakhalin
sakmarian a ɔyɛ ɔkyerɛwfo;Sakmarian
sakra mu;update
sakraman;fox
sakrament;sacrament
sakramentfoɔ;sacramental
sakre;bicycle
sakre;bike
sakre a wɔde bɔ akuturuku;bicycle kick
sakre a ɛyɛ quad;quad bike
sakre abiɛsa;tricycle
sakre biako;unicycle
sakre dade kyɛw;bicycle helmet
sakre kwan;bicycle path
sakre-ne-tra so;bike-and-ride
sakrekafo;biker
sakrekafo;cyclist
sakretwie;cycling
salaam alaikum;salaam alaikum
salacious;salacious
salaciousness a ɛyɛ fɛ;salaciousness
salacity a ɛyɛ fɛ;salacity
salad a wɔde yɛ salad;salad
salad kuruwa a wɔde yɛ salad;salad bowl
saladin na ɔkyerɛwee;Saladin
salamanca na ɔkyerɛwee;Salamanca
salamander a wɔfrɛ no salamander;salamander
salami;salami
salamifoɔ;Salamis
salat a wɔde di dwuma;salat
salbutamol a wɔde yɛ aduru;salbutamol
salekhard na ɔkyerɛwee;Salekhard
salerno na ɔkyerɛwee;Salerno
salicylate a wɔde yɛ aduru;salicylate
salicylic acid a wɔde yɛ aduru;salicylic acid
sallet a wɔde yɛ adwuma;sallet
salmonberry a wɔfrɛ no salmonberry;salmonberry
salo;salo
salomo;Solomon
salon;salon
salsa a wɔfrɛ no salsa;salsa
salsatheque a wɔde yɛ nneɛma;salsatheque
salsify a ɛyɛ tuntum;black salsify
salubrious a ɛyɛ den;salubrious
saluki na ɔkyerɛwee;Saluki
salutary;salutary
salvador;Salvador
salvadorni;Salvadoran
salvage a wɔde gye nkurɔfo;salvage
salvo;salvo
salzburg na ɛwɔ hɔ;Salzburg
saman;ghost
samara;samara
samariani;Samaritan
samariani pa;Good Samaritan
samarium a ɛwɔ hɔ;samarium
samarkand na ɔkyerɛwee;Samarkand
samba;samba
sambadrome a ɛwɔ hɔ;sambadrome
samfono mu;rinse
samifoɔ;Sami
samina;soap
samina a wɔde yɛ aduan;soap dish
samina a wɔde yɛ samina;soapberry
samina adaka;soapbox
sammarinefo kasa;Sammarinese
samoa;Samoa
samoanfo;Samoan
