U-turn;U-dan a wobɛdannan no
u;u
UAE;UAE na ɛwɔ hɔ
uber-;uber- .
ubiquitin;ubiquitin a wɔde di dwuma
ubiquitous;a ɛwɔ baabiara
udder;awotwaa mu
Udi;Udi
Udine;Udine na ɔkyerɛwee
Udmurt;Udmurt na ɔkyerɛwee
Udmurtia;Udmurtia na ɔkyerɛwee
UEFA;UEFA na ɛyɛ
Ufa;Ufa
UFO;UFO a wɔfrɛ no UFO
ufology;ufology ho adesua
Uganda;Uganda
Ugandan;Ugandani
ugg boot;ugg boot a wɔde hyɛ mu
ugh;ugh
ugli;ugli
uglify;uglify
ugliness;akyide a ɛyɛ fɛ
ugly as sin;akyide te sɛ bɔne
ugly duckling;ananse ba a ne ho yɛ tan
ugly;tan
Ugric;Ugric a ɛyɛ hu
uh-huh;uh-huh na ɛyɛ
uh;uh
uhlan;uhlan
uilleann pipes;uilleann nsuo afiri
UK;UK
ukelin;ukelin na ɔkyerɛwee
ukha;ukha
Ukraine;Ukraine
Ukrainian;Ukraine kasa
ukulele;ukulele a wɔde bɔ nnwom
Ulaanbaatar;Ulaanbaatar na ɔkyerɛwee
Ulan-Ude;Ulan-Ude na ɔkyerɛwee
ulcer;akisikuru
ulcerate;akuru a ɛyɛ kurukuruwa
ulcerous;akuru a ɛyɛ kurukuruwa
ulexite;ulexite a wɔfrɛ no ulexite
ulna;ulna
Ulric;Ulric na ɔkyerɛwee
Ulrica;Ulrica na ɔkyerɛwee
ulterior motive;atirimpɔw a ɛyɛ sum ase
ultima Thule;awiei koraa no Thule
ultimate frisbee;frisbee a etwa to koraa
ultimate;deɛ worepɛ ankasa
ultimately;awiei koraa no
ultimatum;ultimatum a ɛyɛ nokware
ultra light rail;ultra light keteke kwan so
ultracentrifuge;ultracentrifuge a wɔde yɛ adwuma
ultraism;ultraism a ɛyɛ hu
ultranationalism;ɔmampɛ a ɛboro so
ultraright;ultraright, nifa so
ultrasonic;ultrasonic a wɔde yɛ adwuma
ultrasound;ultrasound a wɔde yɛ adwuma
ultrastructure;ultrastructure a wɔde yɛ nneɛma
ultraviolet;ultraviolet a ɛyɛ fɛ
ululate;ululate
Uluru;Uluru na ɔkyerɛwee
Ulyanovsk;Ulyanovsk na ɔkyerɛwee
Umayyad;Umayyadfoɔ
umbel;umbel
umbilical cord;awotwaa mu hama
umbilicate;umbilicate a wɔde hyɛ awotwaa mu
