w-w;ww
waddle;waddle
wade;wade
wadi;wadi
wading bird;anomaa a ɔretu mmirika
wafer;wafer
waffle iron;waffle dade a wɔde yɛ nneɛma
waffle;waffle a wɔde yɛ nneɛma
waft;waft
wag;wag
wage;frɛ
wager;kyakyatow
Wagga Wagga;Wagga Wagga na ɔkyerɛwee
Wagnerian;Wagnerian a ɔyɛ ɔkyerɛwfo
wagtail;wagtail a ɛyɛ den
Wahhabism;Wahhabsom a wɔde di dwuma
waif;waif
wail;wail
wailer;wailer
wainscotting;wainscotting a wɔde di dwuma
waist;sisie
waistband;abɔso a wɔde kyekyere abɔso
waistcoat;abɔso a wɔde hyɛ
wait upon;twɛn
wait;twɛn
waiter;nsatɔnni
waiting room;dan a wɔtwɛn mu
waitress;ɔbea a ɔhwɛ adidibea hɔ
waive;waive
waiver;waiver a wɔde gyae adwuma
Wakayama;Wakayama
wake up;nyane
wake-up call;ɔfrɛ a wɔde nyan obi
wake;nyane
wakeboard;wakeboard a wɔde yɛ adwuma
wakefulness;ani a wɔda
Wales;Wales na ɛwɔ hɔ
walk a tightrope;nantew hama a ɛyɛ den so
walk around;nantew kyinkyin
walk on eggshells;nantew wɔ nkesua a wɔayam so
walk the dog;nantew ɔkraman no
walk the talk;nantew ɔkasa no so
walk through;nantew fa mu
walk;nante
walker;nantewfo
walkie-talkie;walkie-talkie a wɔde di dwuma
walking dictionary;nsɛm asekyerɛ nhoma a nantew
walking fish;mpataa a wɔnantew
walking stick;poma a wɔde nantew
walkout;walkout a wɔde wɔn ho hyɛ mu
walkthrough;nantew mu
walkway;kwan a wɔfa so nantew
wall chaser;ɔfasu akyigyinafo
wall clock;ɔfasu so dɔn
wall;ban
wallaby;wallaby
Wallachia;Wallachia na ɛwɔ hɔ
Wallachian;Wallachian kasa
wallet;sikabɔtɔ
wallflower;ɔfasuo nhwiren
Wallis and Futuna;Wallis ne Futuna na wɔyɛɛ saa
Wallonia;Wallonia na ɛwɔ hɔ
Walloon;Walloon kasa mu
wallop;wallop
wallow;wallow
wallpaper;wallpaper
walls have ears;afasu wɔ aso
walnut;walnut a wɔfrɛ no walnut
Walpurgis night;Walpurgis anadwo
walrus;walrus a wɔfrɛ no walrus
Walter;Walter na ɔkyerɛwee
waltz;waltz a wɔfrɛ no waltz
wand;wand
wander;ayera
wanderer;ɔkyinkyin
wane;wane
waning;a ɛrekɔ fam
wank;wank
Wankel engine;Wankel engine no
wanker;wanker
want;pɛ
wanted;repɛ
wanton;wanton
war crime;ɔko mu nsɛmmɔnedi
war dance;ɔko asaw
war game;ɔko ho agodie
war of nerves;ntini mu akodi
war zone;ɔko beae
war;ɔko
warble;warble a ɛyɛ hu
warbler;warbler a wɔfrɛ no warbler
ward off;ward off
ward;ward no mu
warden;ɔwɛmfo
wardrobe malfunction;wardrobe a ɛnyɛ adwuma yiye
wardrobe;wɔdropu
ware;ware a wɔde yɛ nneɛma
warehouse;akoradan
warehouseman;adekoradan mu adwumayɛfo
wares;nneɛma a wɔtɔn
warhead;akodi ti
Warholian;Warholian a ɔyɛ ɔko
warlike;ɔkofo a wɔyɛ
warlock;ɔkraman
warlord;ɔko mu panyin
warm front;anim a ɛyɛ hyew
warm;botrobodwo
warming pan;pan a wɔde yɛ ɔhyew
warmly;wɔ ɔhyew mu
warmonger;ɔko ho ɔkofo
warmth;ɔhyew
warn;ɔhyew
warning;kɔkɔbɔ
warp beam;warp beam a ɛyɛ fɛ
warp;warp
warrant of attorney;tumi krataa a ɛkyerɛ sɛ obi yɛ mmaranimfo
warrant;tumi krataa
warranty;warranty a wɔde ma
warren;warren na ɔkyerɛwee
warrior;ɔkofoɔ
Warsaw;Warsaw na ɛwɔ hɔ
warship;ɔko hyɛn
wart;akisikuru
warthog;warthog a wɔfrɛ no warthog
wartime;ɔko bere mu
warty;warty a ɛyɛ hu
wary;ahwɛyiye
wasabi;wasabi
wash one's hands of;obi hohoro ne nsa ho
wash;horo
washable;wotumi hohoro mu
washbasin;afiri a wɔde horo nneɛma
washboard;washboard a wɔde horo nneɛma
washcloth;ntama a wɔde horo nneɛma
washer;washer a wɔde horo nneɛma
washing machine;afiri a wɔde horo nneɛma
washing-up liquid;nsu a wɔde hohoro nneɛma
Washington, D.C.;Washington, DC, na ɛwɔ hɔ
Washington;Washington
washtub;afiri a wɔde horo nneɛma
wasp;wasp
waste breath;ahome a wɔsɛe no
waste of time;bere a wɔsɛe no
waste picker;nwura a wɔboaboa ano
waste time;sɛe bere
waste;sɛe
wasted;wɔasɛe no
wasteland;asase a ɛso yɛ amamfõ
waster;ɔsɛefo
wat;wat
watch one's mouth;hwɛ obi ano
watch out;hwɛ yiye
watch over;hwɛ yiye
watch;hwɛ
watchful;a wɔwɛn
watchfulness;ɔwɛn a wɔwɛn
watchlist;nsɛm a wɔde hwɛ nneɛma so
watchmaker;dɔn yɛfo
watchtower;ɔwɛn-Aban
watchword;ɔwɛn asɛmfua
water bear;nsuo asono
water buffalo;nsu mu akraman
water caltrop;nsuo a wɔde yɛ caltrop
water cannon;nsu mu aprɛm
water chestnut;nsuo a wɔde yɛ chestnut
water clock;nsuo dɔn
water cycle;nsuo kyinhyia
water dog;nsu mu kraman
water down;nsuo a ɛkɔ fam
water fountain;nsu asubura
water heater;nsu a wɔde yɛ hyew
water lily;nsu mu sukooko
water line;nsuo nhama
water meter;nsuo mita
water pipe;nsuo a wɔde fa nsuo mu
water pollution;nsu a wɔsɛe no
water polo;nsu mu polo
water purifier;nsuo a wɔde tew ho
water rat;nsuo mu ɔkraman
water slide;nsuo a ɛtwetwe nsuo
water softener;nsuo a ɛma nsuo yɛ mmerɛw
water strider;nsuo mu strider
water table;nsuo a ɛwɔ soro
water tank;nsuo a wɔde gu mu
water tower;nsu abantenten
water turbine;nsuo a wɔde yɛ turbine
water's edge;nsuo ano
water;nsuo
waterbed;nsuo a ɛwɔ nsuo mu
watercolour;nsu mu mfonini
watercourse;nsuo a ɛkɔ nsuo mu
watercress;nsuo a wɔde yɛ nsuo
watered stock;stock a wɔde nsuo ahyɛ mu ma
waterer;nsuo a wɔde gugu so
waterfall;nsu a ɛtɔ gu fam
waterfowl;nsu mu nnomaa
waterfront;nsuo ho
waterhole;nsuo a ɛyɛ tokuru
watering can;nsuo a wɔde gugu nsuo mu
waterless;nsu a enni mu
watermark;nsuo agyiraeɛhyɛdeɛ
watermelon;wɔtamɛlɔn
watermill;nsuo a wɔde yɛ adwuma
waterproof;nsuo ntumi nkɔ mu
watershed;nsuo a wɔde fa nsuo mu
waterspout;nsuo a ɛtwetwe nsuo
watertight;nsuo ntumi nkɔ mu
watertightness;nsuo a ɛmma nsuo ntumi nkɔ mu
watery;nsuo a ɛyɛ dɛ
watt;watt
wattage;wattage a wɔde yɛ adwuma
wattle;wattle
wattmeter;wattmeter a wɔde kyerɛw nneɛma
wave;him
wavefunction;asorɔkye dwumadi
wavelength;asorɔkye tenten
wavelet;wavelet a ɛyɛ fɛ
waver;waver
wavy;wavy
wax paper;wax krataa
wax;wax a wɔde yɛ nneɛma
waxwing;waxwing a wɔde yɛ nneɛma
waxy;waxy a ɛyɛ fɛ
way in;kwan so wɔ
way of life;asetra kwan
Way of St. James;Ɔkwan a Ɔhotefo Yakobo fa so
Way of the Cross;Mmeamudua no Kwan
way out;ɔkwan a wɔfa so fi mu
way to go;ɔkwan a wɔfa so fa so
way too;kwan nso
way;kwan
wayfarer;ɔkwantufo
wayward;wayward
we;yɛn
weak force;tumi a ɛyɛ mmerɛw
