X-ray;X-ray a wɔde kyerɛ
xanthine;xanthine a wɔde yɛ aduru
xanthous;xanthous a wɔde di dwuma
Xavier;Xavier na ɔkyerɛwee
xebec;xebec
xenia;xenia
xenocide;xenocide a wɔde kum nnipa
Xenocrates;Xenocrates a ɔyɛ ɔmanpanyin
xenon;xenon
Xenophanes;Xenophanes na ɔkyerɛwee
xenophobe;ahɔho ho tan
xenophobia;ahɔho ho tan
xenophobic;ahɔho ho tan
Xenophon;Xenophon na ɔkyerɛwee
xenotransplantation;xenotransplantation a wɔde ma obi foforo
xerography;xerography a wɔde kyerɛw nsɛm
xerophthalmia;xerophthalmia a ɛma obi yɛ ade
xerophthalmic;xerophthalmic a wɔde di dwuma
xerox;xerox a wɔfrɛ no xerox
Xerxes;Xerxes na ɔkyerɛwee
Xhosa;Xhosa kasa mu
xi;xi
Xiamen;Xiamen na ɔkyerɛwee
xiangsheng;xiangsheng na ɔkyerɛwee
Xinjiang;Xinjiang na ɛwɔ hɔ
XO sauce;XO sauce a wɔde yɛ aduan
xor;xor
xylan;xylan na ɔkyerɛwee
xylem;xylem
xylene;xylene a wɔfrɛ no xylene
xylitol;xylitol a wɔde yɛ nneɛma
xylography;xylography a wɔde kyerɛw nsɛm
xylophone;xylophone a wɔde di dwuma
xylophonist;xylophone ho nimdefo
xylose;xylose a wɔfrɛ no xylose
xylulose;xylulose a wɔde yɛ adwuma
